"",BBK01.OECJ02M,BBK01.OECJ02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:19,
2002-01,1.545,
2002-04,1.524,
2002-07,1.674,
2002-10,2.414,
2003-01,1.787,
2003-04,1.793,
2003-07,1.874,
2003-10,2.419,
2004-01,1.854,
2004-04,1.975,
2004-07,1.855,
2004-10,2.201,
2005-01,2.419,
2005-04,2.410,
2005-07,2.616,
2005-10,2.682,
2006-01,2.323,
2006-04,2.304,
2006-07,2.423,
2006-10,2.906,
2007-01,2.697,
2007-04,2.641,
2007-07,2.815,
2007-10,3.548,
2008-01,2.874,
2008-04,2.666,
2008-07,2.619,
2008-10,3.406,
2009-01,3.077,
2009-04,3.066,
2009-07,3.408,
2009-10,4.032,
2010-01,3.408,
2010-04,3.618,
2010-07,3.559,
2010-10,4.103,
2011-01,3.730,
2011-04,3.473,
2011-07,3.640,
2011-10,4.762,
2012-01,3.660,
2012-04,4.074,
2012-07,4.597,
2012-10,5.638,
2013-01,4.665,
2013-04,4.555,
2013-07,4.841,
2013-10,5.251,
2014-01,4.692,
2014-04,4.613,
2014-07,5.130,
