"",BBK01.OEAD29K,BBK01.OEAD29K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:44,
2002-01,0.023,
2002-04,0.021,
2002-07,0.024,
2002-10,0.028,
2003-01,0.026,
2003-04,0.032,
2003-07,0.033,
2003-10,0.026,
2004-01,0.021,
2004-04,0.020,
2004-07,0.019,
2004-10,0.014,
2005-01,0.017,
2005-04,0.017,
2005-07,0.015,
2005-10,0.015,
2006-01,0.016,
2006-04,0.013,
2006-07,0.014,
2006-10,0.016,
2007-01,0.018,
2007-04,0.011,
2007-07,0.010,
2007-10,0.004,
2008-01,0.004,
2008-04,0.055,
2008-07,0.005,
2008-10,0.006,
2009-01,0.006,
2009-04,0.021,
2009-07,0.015,
2009-10,0.013,
2010-01,0.016,
2010-04,0.023,
2010-07,0.019,
2010-10,0.022,
2011-01,0.021,
2011-04,0.025,
2011-07,0.032,
2011-10,0.022,
2012-01,0.063,
2012-04,0.051,
2012-07,0.056,
2012-10,0.057,
2013-01,0.051,
2013-04,0.047,
2013-07,0.049,
2013-10,0.047,
2014-01,0.044,
2014-04,0.059,
2014-07,0.060,
