"",BBK01.OEBI10N,BBK01.OEBI10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:16,
2002-01,2.470,
2002-04,2.431,
2002-07,2.399,
2002-10,2.365,
2003-01,2.289,
2003-04,2.197,
2003-07,2.163,
2003-10,2.141,
2004-01,2.045,
2004-04,1.987,
2004-07,1.933,
2004-10,0.471,
2005-01,1.908,
2005-04,1.862,
2005-07,1.826,
2005-10,1.811,
2006-01,1.754,
2006-04,1.660,
2006-07,1.631,
2006-10,1.618,
2007-01,1.567,
2007-04,1.509,
2007-07,1.449,
2007-10,1.408,
2008-01,1.344,
2008-04,1.299,
2008-07,1.272,
2008-10,1.281,
2009-01,1.230,
2009-04,1.194,
2009-07,1.199,
2009-10,1.154,
2010-01,1.112,
2010-04,1.080,
2010-07,1.025,
2010-10,0.981,
2011-01,0.982,
2011-04,0.853,
2011-07,0.835,
2011-10,0.804,
2012-01,0.785,
2012-04,0.765,
2012-07,0.751,
2012-10,0.733,
2013-01,0.721,
2013-04,0.694,
2013-07,0.679,
2013-10,0.647,
2014-01,0.618,
2014-04,0.594,
2014-07,0.547,
