"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:58,
1991-01,3680.455,
1991-04,5902.201,
1991-07,3167.121,
1991-10,1950.240,
1992-01,8909.987,
1992-04,8526.341,
1992-07,2730.258,
1992-10,15827.537,
1993-01,19357.117,
1993-04,10386.880,
1993-07,3766.114,
1993-10,-12707.803,
1994-01,9891.427,
1994-04,4686.068,
1994-07,9124.162,
1994-10,10507.236,
1995-01,-267.352,
1995-04,4158.434,
1995-07,2860.703,
1995-10,6311.617,
1996-01,9786.060,
1996-04,3923.958,
1996-07,2307.548,
1996-10,7672.597,
1997-01,20108.591,
1997-04,24727.615,
1997-07,25303.601,
1997-10,9617.900,
1998-01,39635.869,
1998-04,38325.444,
1998-07,19048.379,
1998-10,33971.030,
1999-01,59894.788,
1999-04,35940.958,
1999-07,39342.623,
1999-10,42205.267,
2000-01,89620.906,
2000-04,34354.981,
2000-07,54360.884,
2000-10,25202.247,
2001-01,45924.745,
2001-04,46349.352,
2001-07,2716.399,
2001-10,29520.442,
2002-01,30400.333,
2002-04,18053.675,
2002-07,5785.372,
2002-10,8970.091,
2003-01,2686.637,
2003-04,29543.130,
2003-07,242.702,
2003-10,13317.300,
2004-01,32657.049,
2004-04,33523.200,
2004-07,22932.442,
2004-10,14977.838,
2005-01,66742.715,
2005-04,51232.345,
2005-07,29286.545,
2005-10,58369.294,
2006-01,62984.421,
2006-04,27413.649,
2006-07,20191.932,
2006-10,52370.169,
2007-01,66844.890,
2007-04,59538.266,
2007-07,3076.422,
2007-10,18541.570,
2008-01,34765.750,
2008-04,25141.229,
2008-07,-8957.974,
2008-10,-70149.935,
2009-01,11955.977,
2009-04,31609.640,
2009-07,25198.411,
2009-10,10553.758,
2010-01,24811.948,
2010-04,3612.817,
2010-07,24099.554,
2010-10,117909.843,
2011-01,21168.473,
2011-04,9529.131,
2011-07,-14597.721,
2011-10,5527.297,
2012-01,34445.034,
2012-04,-173.148,
2012-07,29115.312,
2012-10,46427.014,
2013-01,45520.258,
2013-04,39131.054,
2013-07,32643.528,
2013-10,23661.260,
2014-01,40511.108,Provisional value
2014-04,41343.683,Provisional value
2014-07,27191.724,Provisional value
2014-10,35811.309,Provisional value
