"",BBK01.OELK02M,BBK01.OELK02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:18,
2002-01,1.605,
2002-04,1.537,
2002-07,1.569,
2002-10,1.640,
2003-01,1.545,
2003-04,1.570,
2003-07,1.590,
2003-10,1.754,
2004-01,1.639,
2004-04,1.658,
2004-07,1.694,
2004-10,1.890,
2005-01,1.844,
2005-04,1.863,
2005-07,1.892,
2005-10,2.120,
2006-01,1.916,
2006-04,1.931,
2006-07,1.976,
2006-10,2.235,
2007-01,2.050,
2007-04,2.086,
2007-07,2.103,
2007-10,2.448,
2008-01,2.155,
2008-04,2.095,
2008-07,2.098,
2008-10,2.394,
2009-01,2.209,
2009-04,2.284,
2009-07,2.428,
2009-10,2.755,
2010-01,2.651,
2010-04,2.674,
2010-07,2.790,
2010-10,3.029,
2011-01,2.815,
2011-04,2.734,
2011-07,2.860,
2011-10,3.326,
2012-01,3.236,
2012-04,3.223,
2012-07,3.426,
2012-10,3.784,
2013-01,3.588,
2013-04,3.568,
2013-07,3.686,
2013-10,4.037,
2014-01,3.865,
2014-04,3.790,
2014-07,3.941,
