"",BBK01.OELL06K,BBK01.OELL06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:13,
2002-01,0.232,
2002-04,0.250,
2002-07,0.236,
2002-10,0.231,
2003-01,0.215,
2003-04,0.211,
2003-07,0.200,
2003-10,0.195,
2004-01,0.192,
2004-04,0.194,
2004-07,0.189,
2004-10,0.198,
2005-01,0.191,
2005-04,0.169,
2005-07,0.159,
2005-10,0.156,
2006-01,0.152,
2006-04,0.149,
2006-07,0.153,
2006-10,0.199,
2007-01,0.220,
2007-04,0.227,
2007-07,0.235,
2007-10,0.242,
2008-01,0.267,
2008-04,0.264,
2008-07,0.281,
2008-10,0.266,
2009-01,0.241,
2009-04,0.238,
2009-07,0.228,
2009-10,0.260,
2010-01,0.254,
2010-04,0.247,
2010-07,0.220,
2010-10,0.246,
2011-01,0.244,
2011-04,0.251,
2011-07,0.239,
2011-10,0.241,
2012-01,0.205,
2012-04,0.185,
2012-07,0.179,
2012-10,0.181,
2013-01,0.140,
2013-04,0.107,
2013-07,0.083,
2013-10,0.075,
2014-01,0.060,
2014-04,0.066,
2014-07,0.067,
