"",BBK01.OEAN05N,BBK01.OEAN05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:04,
2002-01,29.195,
2002-04,28.120,
2002-07,27.397,
2002-10,28.449,
2003-01,28.615,
2003-04,28.360,
2003-07,28.375,
2003-10,27.783,
2004-01,27.256,
2004-04,26.935,
2004-07,26.408,
2004-10,24.244,
2005-01,25.123,
2005-04,24.942,
2005-07,25.437,
2005-10,25.044,
2006-01,24.532,
2006-04,23.822,
2006-07,22.824,
2006-10,22.511,
2007-01,21.864,
2007-04,21.349,
2007-07,20.369,
2007-10,20.707,
2008-01,19.910,
2008-04,19.280,
2008-07,18.535,
2008-10,18.376,
2009-01,18.938,
2009-04,19.779,
2009-07,20.562,
2009-10,22.109,
2010-01,22.742,
2010-04,23.167,
2010-07,23.248,
2010-10,23.716,
2011-01,23.847,
2011-04,23.933,
2011-07,23.539,
2011-10,23.594,
2012-01,23.986,
2012-04,24.179,
2012-07,24.734,
2012-10,25.961,
2013-01,26.915,
2013-04,27.239,
2013-07,27.417,
2013-10,28.211,
2014-01,29.009,
2014-04,29.520,
2014-07,29.822,
