"",BBK01.OEAC02U,BBK01.OEAC02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:40,
2002-01,2.031,
2002-04,2.030,
2002-07,2.030,
2002-10,2.017,
2003-01,1.992,
2003-04,1.990,
2003-07,1.944,
2003-10,1.933,
2004-01,1.912,
2004-04,1.831,
2004-07,1.853,
2004-10,1.797,
2005-01,1.737,
2005-04,1.702,
2005-07,1.658,
2005-10,1.596,
2006-01,1.584,
2006-04,1.567,
2006-07,1.577,
2006-10,1.608,
2007-01,1.595,
2007-04,1.584,
2007-07,1.579,
2007-10,1.594,
2008-01,1.656,
2008-04,1.687,
2008-07,1.709,
2008-10,1.639,
2009-01,1.658,
2009-04,1.683,
2009-07,1.691,
2009-10,1.608,
2010-01,1.649,
2010-04,1.633,
2010-07,1.633,
2010-10,1.614,
2011-01,1.732,
2011-04,1.744,
2011-07,1.737,
2011-10,1.698,
2012-01,1.748,
2012-04,1.730,
2012-07,1.758,
2012-10,1.693,
2013-01,1.735,
2013-04,1.719,
2013-07,1.718,
2013-10,1.679,
2014-01,1.701,
2014-04,1.713,
2014-07,1.696,
