"",BBSF2.M.1.S.00000.SON01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Number outstanding,
unit,Stueck (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:36,
2009-09,22129,
2009-10,27280,
2009-11,43828,
2009-12,47110,
2010-01,53916,
2010-02,54485,
2010-03,58693,
2010-04,59760,
2010-05,61840,
2010-06,62446,
2010-07,69902,
2010-08,69537,
2010-09,80640,
2010-10,81714,
2010-11,82787,
2010-12,101849,
2011-01,102389,
2011-02,103831,
2011-03,104545,
2011-04,101039,
2011-05,104092,
2011-06,106523,
2011-07,107101,
2011-08,116896,
2011-09,117205,
2011-10,152354,
2011-11,200924,
2011-12,202764,
2012-01,205021,
2012-02,203598,
2012-03,201143,
2012-04,197091,
2012-05,194587,
2012-06,191343,
2012-07,194453,
2012-08,198312,
2012-09,199850,
2012-10,200453,
2012-11,203818,
2012-12,210271,
2013-01,213304,
2013-02,216208,
2013-03,220149,
2013-04,232498,
2013-05,241693,
2013-06,243276,
2013-07,248876,
2013-08,247960,
2013-09,249265,
2013-10,248267,
2013-11,249132,
2013-12,256931,
2014-01,261092,
2014-02,268831,
2014-03,275051,
2014-04,278078,
2014-05,281018,
2014-06,284172,
2014-07,289061,
2014-08,343379,
2014-09,344492,
2014-10,345963,
2014-11,354303,
