"",BBK01.OEAO01M,BBK01.OEAO01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:59,
2002-01,50.263,
2002-04,49.886,
2002-07,48.997,
2002-10,48.800,
2003-01,49.973,
2003-04,50.226,
2003-07,49.617,
2003-10,49.390,
2004-01,50.115,
2004-04,50.028,
2004-07,49.266,
2004-10,49.776,
2005-01,54.179,
2005-04,53.889,
2005-07,53.478,
2005-10,52.961,
2006-01,53.409,
2006-04,53.179,
2006-07,52.634,
2006-10,51.867,
2007-01,51.747,
2007-04,50.825,
2007-07,49.907,
2007-10,48.825,
2008-01,49.119,
2008-04,48.203,
2008-07,47.187,
2008-10,46.111,
2009-01,47.627,
2009-04,48.110,
2009-07,48.158,
2009-10,48.645,
2010-01,49.283,
2010-04,49.998,
2010-07,50.249,
2010-10,50.200,
2011-01,51.102,
2011-04,51.684,
2011-07,51.529,
2011-10,51.342,
2012-01,51.803,
2012-04,52.099,
2012-07,51.788,
2012-10,51.288,
2013-01,51.462,
2013-04,51.823,
2013-07,51.638,
2013-10,51.383,
2014-01,51.707,
2014-04,51.654,
2014-07,51.334,
