"",BBK01.OEAB16O,BBK01.OEAB16O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:43,
2002-01,14.221,
2002-04,15.049,
2002-07,15.053,
2002-10,14.824,
2003-01,14.560,
2003-04,13.781,
2003-07,12.597,
2003-10,12.905,
2004-01,12.882,
2004-04,12.942,
2004-07,12.951,
2004-10,12.873,
2005-01,14.014,
2005-04,14.011,
2005-07,14.093,
2005-10,14.015,
2006-01,13.983,
2006-04,14.028,
2006-07,14.092,
2006-10,14.202,
2007-01,14.184,
2007-04,14.110,
2007-07,14.126,
2007-10,13.986,
2008-01,13.966,
2008-04,13.989,
2008-07,13.802,
2008-10,13.820,
2009-01,13.693,
2009-04,13.859,
2009-07,13.877,
2009-10,13.956,
2010-01,13.840,
2010-04,13.856,
2010-07,14.095,
2010-10,14.044,
2011-01,13.813,
2011-04,13.849,
2011-07,13.932,
2011-10,14.012,
2012-01,13.999,
2012-04,14.616,
2012-07,14.664,
2012-10,14.726,
2013-01,14.603,
2013-04,14.583,
2013-07,14.906,
2013-10,14.920,
2014-01,14.953,
2014-04,14.939,
2014-07,14.969,
