"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.US.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.US.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / United States,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:43,
2009-09,11712,
2009-10,11374,
2009-11,11538,
2009-12,12635,
2010-01,12542,
2010-02,13188,
2010-03,14414,
2010-04,15114,
2010-05,14508,
2010-06,14041,
2010-07,13893,
2010-08,13572,
2010-09,13948,
2010-10,14302,
2010-11,15480,
2010-12,16582,
2011-01,16121,
2011-02,16222,
2011-03,15759,
2011-04,15601,
2011-05,15826,
2011-06,15429,
2011-07,15510,
2011-08,13640,
2011-09,13782,
2011-10,14736,
2011-11,14828,
2011-12,16010,
2012-01,16744,
2012-02,16961,
2012-03,17523,
2012-04,17386,
2012-05,17235,
2012-06,17339,
2012-07,18658,
2012-08,19086,
2012-09,19323,
2012-10,18593,
2012-11,18823,
2012-12,18835,
2013-01,19894,
2013-02,21369,
2013-03,22979,
2013-04,22987,
2013-05,24245,
2013-06,23139,
2013-07,24002,
2013-08,23827,
2013-09,23910,
2013-10,24193,
2013-11,24463,
2013-12,24187,
2014-01,23849,
2014-02,24667,
2014-03,24734,
2014-04,25054,
2014-05,25849,
2014-06,26209,
2014-07,26463,
2014-08,27790,
2014-09,28805,
2014-10,29156,
2014-11,30280,
