"",BBSF2.M.1.T.00000.REN01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.REN01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Bonds funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:04,
2009-09,1213,
2009-10,1214,
2009-11,1192,
2009-12,1193,
2010-01,1198,
2010-02,1195,
2010-03,1196,
2010-04,1197,
2010-05,1194,
2010-06,1184,
2010-07,1183,
2010-08,1188,
2010-09,1195,
2010-10,1184,
2010-11,1191,
2010-12,1170,
2011-01,1171,
2011-02,1176,
2011-03,1171,
2011-04,1170,
2011-05,1169,
2011-06,1165,
2011-07,1165,
2011-08,1161,
2011-09,1158,
2011-10,1161,
2011-11,1146,
2011-12,1143,
2012-01,1144,
2012-02,1143,
2012-03,1146,
2012-04,1159,
2012-05,1173,
2012-06,1185,
2012-07,1177,
2012-08,1185,
2012-09,1182,
2012-10,1182,
2012-11,1168,
2012-12,1167,
2013-01,1171,
2013-02,1170,
2013-03,1174,
2013-04,1167,
2013-05,1157,
2013-06,1157,
2013-07,1193,
2013-08,1190,
2013-09,1180,
2013-10,1165,
2013-11,1159,
2013-12,1161,
2014-01,1160,
2014-02,1152,
2014-03,1147,
2014-04,1147,
2014-05,1138,
2014-06,1138,
2014-07,1119,
2014-08,1124,
2014-09,1125,
2014-10,1135,
2014-11,1131,
