"",BBK01.OECL09G,BBK01.OECL09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:12,
2002-01,0.201,
2002-04,0.203,
2002-07,0.198,
2002-10,0.197,
2003-01,0.191,
2003-04,0.186,
2003-07,0.178,
2003-10,0.179,
2004-01,0.177,
2004-04,0.174,
2004-07,0.165,
2004-10,0.168,
2005-01,0.209,
2005-04,0.203,
2005-07,0.189,
2005-10,0.187,
2006-01,0.183,
2006-04,0.198,
2006-07,0.215,
2006-10,0.223,
2007-01,0.276,
2007-04,0.305,
2007-07,0.336,
2007-10,0.382,
2008-01,0.417,
2008-04,0.441,
2008-07,0.484,
2008-10,0.756,
2009-01,0.771,
2009-04,0.765,
2009-07,0.769,
2009-10,0.619,
2010-01,0.497,
2010-04,0.475,
2010-07,0.440,
2010-10,0.494,
2011-01,0.524,
2011-04,0.541,
2011-07,0.549,
2011-10,0.536,
2012-01,0.547,
2012-04,0.555,
2012-07,0.523,
2012-10,0.436,
2013-01,0.354,
2013-04,0.301,
2013-07,0.277,
2013-10,0.272,
2014-01,0.264,
2014-04,0.251,
2014-07,0.325,
