"",BBFB1.M.N.DE.W1.S1.S1.T.C.NP._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.NP._Z._Z._Z._T._X.N_FLAGS
"",Capital account / Non-produced non-financial asstes / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:16,
1991-01,0.920,
1991-02,4.507,
1991-03,1.010,
1991-04,11.973,
1991-05,4.918,
1991-06,1.669,
1991-07,2.656,
1991-08,6.286,
1991-09,1.091,
1991-10,3.846,
1991-11,4.029,
1991-12,0.760,
1992-01,3.862,
1992-02,5.476,
1992-03,0.881,
1992-04,2.523,
1992-05,3.533,
1992-06,1.779,
1992-07,1.999,
1992-08,5.094,
1992-09,1.531,
1992-10,3.278,
1992-11,3.398,
1992-12,2.887,
1993-01,12.207,
1993-02,2.510,
1993-03,0.473,
1993-04,3.616,
1993-05,3.572,
1993-06,1.224,
1993-07,2.419,
1993-08,56.635,
1993-09,2.107,
1993-10,8.986,
1993-11,7.427,
1993-12,5.249,
1994-01,13.585,
1994-02,19.427,
1994-03,11.570,
1994-04,13.932,
1994-05,11.610,
1994-06,9.869,
1994-07,9.970,
1994-08,11.517,
1994-09,18.493,
1994-10,10.247,
1994-11,17.395,
1994-12,90.113,
1995-01,13.309,
1995-02,10.683,
1995-03,9.997,
1995-04,9.242,
1995-05,61.765,
1995-06,12.312,
1995-07,18.349,
1995-08,13.873,
1995-09,37.585,
1995-10,7.784,
1995-11,12.689,
1995-12,104.123,
1996-01,15.499,
1996-02,11.572,
1996-03,14.470,
1996-04,85.688,
1996-05,15.103,
1996-06,37.358,
1996-07,28.039,
1996-08,17.519,
1996-09,11.983,
1996-10,41.772,
1996-11,40.316,
1996-12,57.264,
1997-01,82.702,
1997-02,24.779,
1997-03,20.009,
1997-04,32.923,
1997-05,34.289,
1997-06,80.467,
1997-07,36.905,
1997-08,20.852,
1997-09,26.615,
1997-10,19.705,
1997-11,19.645,
1997-12,27.707,
1998-01,9.898,
1998-02,3.863,
1998-03,29.416,
1998-04,15.598,
1998-05,18.344,
1998-06,22.531,
1998-07,10.985,
1998-08,25.297,
1998-09,10.539,
1998-10,23.558,
1998-11,31.828,
1998-12,22.030,
1999-01,10.779,
1999-02,41.982,
1999-03,19.518,
1999-04,9.666,
1999-05,52.950,
1999-06,29.285,
1999-07,44.905,
1999-08,48.047,
1999-09,12.359,
1999-10,30.476,
1999-11,40.093,
1999-12,54.489,
2000-01,24.406,
2000-02,34.203,
2000-03,27.089,
2000-04,22.073,
2000-05,53.836,
2000-06,31.928,
2000-07,19.481,
2000-08,8462.009,
2000-09,27.922,
2000-10,27.177,
2000-11,64.102,
2000-12,35.234,
2001-01,22.955,
2001-02,64.373,
2001-03,50.505,
2001-04,94.988,
2001-05,146.371,
2001-06,51.333,
2001-07,33.696,
2001-08,23.006,
2001-09,25.300,
2001-10,50.416,
2001-11,51.724,
2001-12,42.253,
2002-01,47.458,
2002-02,38.519,
2002-03,19.478,
2002-04,44.588,
2002-05,81.306,
2002-06,31.561,
2002-07,35.456,
2002-08,48.516,
2002-09,41.801,
2002-10,67.796,
2002-11,64.417,
2002-12,63.273,
2003-01,78.341,
2003-02,107.186,
2003-03,19.147,
2003-04,64.453,
2003-05,75.851,
2003-06,39.618,
2003-07,79.024,
2003-08,50.636,
2003-09,30.151,
2003-10,134.047,
2003-11,87.725,
2003-12,55.314,
2004-01,74.503,
2004-02,47.206,
2004-03,39.758,
2004-04,82.550,
2004-05,100.290,
2004-06,41.494,
2004-07,125.141,
2004-08,54.007,
2004-09,54.539,
2004-10,104.912,
2004-11,83.509,
2004-12,50.878,
2005-01,154.761,
2005-02,73.005,
2005-03,66.849,
2005-04,58.100,
2005-05,75.202,
2005-06,77.297,
2005-07,131.299,
2005-08,98.761,
2005-09,56.424,
2005-10,84.654,
2005-11,114.660,
2005-12,124.631,
2006-01,352.743,
2006-02,144.714,
2006-03,103.365,
2006-04,100.746,
2006-05,117.483,
2006-06,104.346,
2006-07,52.864,
2006-08,85.548,
2006-09,59.018,
2006-10,57.751,
2006-11,103.217,
2006-12,165.603,
2007-01,621.619,
2007-02,74.589,
2007-03,47.892,
2007-04,64.250,
2007-05,110.653,
2007-06,55.206,
2007-07,45.004,
2007-08,111.537,
2007-09,84.964,
2007-10,187.964,
2007-11,90.902,
2007-12,89.518,
2008-01,593.129,
2008-02,93.627,
2008-03,53.359,
2008-04,48.842,
2008-05,95.475,
2008-06,78.403,
2008-07,43.293,
2008-08,87.113,
2008-09,102.534,
2008-10,87.785,
2008-11,108.734,
2008-12,1107.423,
2009-01,2154.327,
2009-02,258.558,
2009-03,407.313,
2009-04,283.551,
2009-05,385.757,
