"",BBK01.OEAA04L,BBK01.OEAA04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:17,
2002-01,0.889,
2002-04,0.798,
2002-07,0.748,
2002-10,0.715,
2003-01,0.629,
2003-04,0.681,
2003-07,0.650,
2003-10,0.575,
2004-01,0.543,
2004-04,0.541,
2004-07,0.528,
2004-10,0.523,
2005-01,0.461,
2005-04,0.428,
2005-07,0.423,
2005-10,0.462,
2006-01,0.381,
2006-04,0.446,
2006-07,0.400,
2006-10,0.407,
2007-01,0.349,
2007-04,0.374,
2007-07,0.327,
2007-10,0.443,
2008-01,0.294,
2008-04,0.238,
2008-07,0.253,
2008-10,0.213,
2009-01,0.154,
2009-04,0.141,
2009-07,0.151,
2009-10,0.162,
2010-01,0.127,
2010-04,0.108,
2010-07,0.100,
2010-10,0.166,
2011-01,0.082,
2011-04,0.067,
2011-07,0.106,
2011-10,0.126,
2012-01,0.090,
2012-04,0.049,
2012-07,0.055,
2012-10,0.060,
2013-01,0.054,
2013-04,0.045,
2013-07,0.038,
2013-10,0.068,
2014-01,0.056,
2014-04,0.068,
2014-07,0.082,
