"",BBFB1.Q.N.DE.SI.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:43,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,31.454,
1992-10,-5.060,
1993-01,21.234,
1993-04,16.315,
1993-07,17.739,
1993-10,-2.951,
1994-01,-5.415,
1994-04,-0.749,
1994-07,14.199,
1994-10,39.876,
1995-01,11.586,
1995-04,34.854,
1995-07,68.640,
1995-10,-9.085,
1996-01,16.717,
1996-04,49.785,
1996-07,16.045,
1996-10,65.111,
1997-01,5.990,
1997-04,20.587,
1997-07,1.751,
1997-10,40.896,
1998-01,13.307,
1998-04,5.148,
1998-07,20.360,
1998-10,17.341,
1999-01,62.482,
1999-04,27.559,
1999-07,-16.225,
1999-10,38.787,
2000-01,71.684,
2000-04,67.773,
2000-07,68.093,
2000-10,84.256,
2001-01,20.028,
2001-04,27.752,
2001-07,43.417,
2001-10,-15.997,
2002-01,-2.067,
2002-04,18.943,
2002-07,-44.554,
2002-10,137.665,
2003-01,55.077,
2003-04,87.011,
2003-07,57.055,
2003-10,0.953,
2004-01,106.173,
2004-04,2.744,
2004-07,113.514,
2004-10,60.342,
2005-01,180.109,
2005-04,295.008,
2005-07,287.759,
2005-10,476.879,
2006-01,146.548,
2006-04,202.528,
2006-07,204.857,
2006-10,41.901,
2007-01,135.466,
2007-04,374.620,
2007-07,94.989,
2007-10,83.399,
2008-01,73.117,
2008-04,77.391,
2008-07,-6.812,
2008-10,-166.293,
2009-01,-13.359,
2009-04,-445.615,
2009-07,-147.651,
2009-10,-244.040,
2010-01,63.669,
2010-04,-231.283,
2010-07,-119.632,
2010-10,-183.478,
2011-01,-250.743,
2011-04,-221.461,
2011-07,-77.355,
2011-10,-116.798,
2012-01,130.378,
2012-04,-188.949,
2012-07,-68.443,
2012-10,-192.829,
2013-01,2.299,
2013-04,-57.119,
2013-07,-43.502,
2013-10,-102.012,
2014-01,37.639,Provisional value
2014-04,-70.686,Provisional value
2014-07,-94.273,Provisional value
2014-10,-60.146,Provisional value
