"",BBK01.OELJ08M,BBK01.OELJ08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:05,
2002-01,0.128,
2002-04,0.130,
2002-07,0.129,
2002-10,0.127,
2003-01,0.134,
2003-04,0.137,
2003-07,0.144,
2003-10,0.140,
2004-01,0.145,
2004-04,0.146,
2004-07,0.135,
2004-10,0.133,
2005-01,0.139,
2005-04,0.143,
2005-07,0.124,
2005-10,0.121,
2006-01,0.125,
2006-04,0.124,
2006-07,0.125,
2006-10,0.113,
2007-01,0.111,
2007-04,0.112,
2007-07,0.117,
2007-10,0.135,
2008-01,0.127,
2008-04,0.121,
2008-07,0.123,
2008-10,0.122,
2009-01,0.129,
2009-04,0.131,
2009-07,0.134,
2009-10,0.132,
2010-01,0.143,
2010-04,0.151,
2010-07,0.158,
2010-10,0.167,
2011-01,0.172,
2011-04,0.181,
2011-07,0.184,
2011-10,0.182,
2012-01,0.185,
2012-04,0.189,
2012-07,0.190,
2012-10,0.189,
2013-01,0.187,
2013-04,0.199,
2013-07,0.197,
2013-10,0.206,
2014-01,0.212,
2014-04,0.217,
2014-07,0.229,
