"",BBFB1.Q.N.DE.E1.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:11,
1991-01,8831.316,
1991-04,753.412,
1991-07,5093.870,
1991-10,20351.725,
1992-01,8248.078,
1992-04,5440.220,
1992-07,5475.778,
1992-10,36371.182,
1993-01,44800.033,
1993-04,29576.519,
1993-07,13516.463,
1993-10,39000.026,
1994-01,-5580.126,
1994-04,-12285.768,
1994-07,9754.468,
1994-10,37679.933,
1995-01,11129.343,
1995-04,23445.895,
1995-07,551.443,
1995-10,14675.263,
1996-01,7959.265,
1996-04,8673.485,
1996-07,-2075.697,
1996-10,49368.703,
1997-01,31844.052,
1997-04,37569.590,
1997-07,27921.866,
1997-10,43916.537,
1998-01,76398.600,
1998-04,62402.862,
1998-07,20125.723,
1998-10,61893.320,
1999-01,116169.906,
1999-04,39450.557,
1999-07,66615.668,
1999-10,88316.388,
2000-01,114162.553,
2000-04,71473.069,
2000-07,86862.545,
2000-10,-121.846,
2001-01,123342.330,
2001-04,5977.416,
2001-07,67339.575,
2001-10,16442.906,
2002-01,48023.883,
2002-04,79617.222,
2002-07,81446.931,
2002-10,18931.831,
2003-01,106281.419,
2003-04,54701.204,
2003-07,12628.497,
2003-10,41470.067,
2004-01,75754.483,
2004-04,9723.398,
2004-07,96050.208,
2004-10,42912.237,
2005-01,150727.974,
2005-04,81932.196,
2005-07,56609.470,
2005-10,50170.962,
2006-01,190240.402,
2006-04,72303.275,
2006-07,70528.426,
2006-10,89059.560,
2007-01,157126.296,
2007-04,180263.227,
2007-07,89502.529,
2007-10,44104.210,
2008-01,196024.973,
2008-04,73413.857,
2008-07,42952.365,
2008-10,-82809.365,
2009-01,-19006.326,
2009-04,60605.927,
2009-07,-11591.481,
2009-10,45151.075,
2010-01,91656.404,
2010-04,105255.784,
2010-07,95063.587,
2010-10,68570.900,
2011-01,64476.361,
2011-04,68908.600,
2011-07,166726.840,
2011-10,-50755.301,
2012-01,253757.118,
2012-04,134387.371,
2012-07,28478.683,
2012-10,-37115.207,
2013-01,24722.817,
2013-04,43195.276,
2013-07,-23750.418,
2013-10,-48892.779,
2014-01,69032.824,Provisional value
2014-04,68053.372,Provisional value
2014-07,54449.138,Provisional value
2014-10,-42263.270,Provisional value
