"",BBK01.OELL07O,BBK01.OELL07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:22,
2002-01,12.202,
2002-04,12.099,
2002-07,12.047,
2002-10,12.188,
2003-01,12.247,
2003-04,12.171,
2003-07,12.065,
2003-10,12.285,
2004-01,12.244,
2004-04,12.204,
2004-07,12.112,
2004-10,12.215,
2005-01,12.111,
2005-04,12.019,
2005-07,11.915,
2005-10,11.987,
2006-01,11.862,
2006-04,11.841,
2006-07,11.725,
2006-10,11.664,
2007-01,11.249,
2007-04,10.938,
2007-07,10.639,
2007-10,10.269,
2008-01,10.008,
2008-04,9.699,
2008-07,9.111,
2008-10,8.862,
2009-01,8.881,
2009-04,9.121,
2009-07,9.487,
2009-10,10.024,
2010-01,10.480,
2010-04,10.598,
2010-07,10.640,
2010-10,10.718,
2011-01,10.682,
2011-04,10.695,
2011-07,10.644,
2011-10,10.810,
2012-01,10.769,
2012-04,10.710,
2012-07,10.591,
2012-10,10.519,
2013-01,10.374,
2013-04,10.261,
2013-07,10.199,
2013-10,10.297,
2014-01,10.421,
2014-04,10.379,
2014-07,10.267,
