"",BBK01.OEAH93N,BBK01.OEAH93N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:45,
2002-01,0.038,
2002-04,0.037,
2002-07,0.036,
2002-10,0.074,
2003-01,0.076,
2003-04,0.077,
2003-07,0.073,
2003-10,0.073,
2004-01,0.038,
2004-04,0.034,
2004-07,0.033,
2004-10,0.037,
2005-01,0.037,
2005-04,0.035,
2005-07,0.037,
2005-10,0.037,
2006-01,0.040,
2006-04,0.039,
2006-07,0.048,
2006-10,0.066,
2007-01,0.079,
2007-04,0.095,
2007-07,0.112,
2007-10,0.116,
2008-01,0.129,
2008-04,0.138,
2008-07,0.151,
2008-10,0.157,
2009-01,0.144,
2009-04,0.121,
2009-07,0.095,
2009-10,0.074,
2010-01,0.058,
2010-04,0.055,
2010-07,0.055,
2010-10,0.059,
2011-01,0.064,
2011-04,0.073,
2011-07,0.074,
2011-10,0.077,
2012-01,0.082,
2012-04,0.081,
2012-07,0.067,
2012-10,0.078,
2013-01,0.072,
2013-04,0.066,
2013-07,0.063,
2013-10,0.062,
2014-01,0.059,
2014-04,0.060,
2014-07,0.060,
