"",BBK01.OEAF39V,BBK01.OEAF39V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:42,
2002-01,0.139,
2002-04,0.146,
2002-07,0.134,
2002-10,0.135,
2003-01,0.136,
2003-04,0.138,
2003-07,0.116,
2003-10,0.123,
2004-01,0.118,
2004-04,0.122,
2004-07,0.120,
2004-10,0.121,
2005-01,0.136,
2005-04,0.137,
2005-07,0.136,
2005-10,0.135,
2006-01,0.118,
2006-04,0.116,
2006-07,0.116,
2006-10,0.115,
2007-01,0.113,
2007-04,0.111,
2007-07,0.110,
2007-10,0.109,
2008-01,0.097,
2008-04,0.097,
2008-07,0.095,
2008-10,0.094,
2009-01,0.083,
2009-04,0.078,
2009-07,0.073,
2009-10,0.071,
2010-01,0.070,
2010-04,0.073,
2010-07,0.073,
2010-10,0.048,
2011-01,0.046,
2011-04,0.048,
2011-07,0.065,
2011-10,0.063,
2012-01,0.062,
2012-04,0.061,
2012-07,0.060,
2012-10,0.065,
2013-01,0.063,
2013-04,0.068,
2013-07,0.061,
2013-10,0.059,
2014-01,0.059,
2014-04,0.056,
2014-07,0.056,
