"",BBK01.OEAH19U,BBK01.OEAH19U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:18,
2002-01,0.202,
2002-04,0.199,
2002-07,0.190,
2002-10,0.201,
2003-01,0.209,
2003-04,0.203,
2003-07,0.197,
2003-10,0.201,
2004-01,0.185,
2004-04,0.180,
2004-07,0.190,
2004-10,0.176,
2005-01,0.245,
2005-04,0.255,
2005-07,0.245,
2005-10,0.262,
2006-01,0.269,
2006-04,0.291,
2006-07,0.305,
2006-10,0.311,
2007-01,0.341,
2007-04,0.318,
2007-07,0.344,
2007-10,0.400,
2008-01,0.407,
2008-04,0.409,
2008-07,0.654,
2008-10,0.639,
2009-01,0.738,
2009-04,0.751,
2009-07,0.789,
2009-10,0.805,
2010-01,0.849,
2010-04,0.926,
2010-07,0.937,
2010-10,0.949,
2011-01,0.953,
2011-04,1.015,
2011-07,0.997,
2011-10,1.007,
2012-01,1.133,
2012-04,1.149,
2012-07,1.130,
2012-10,1.211,
2013-01,1.241,
2013-04,1.353,
2013-07,1.359,
2013-10,1.424,
2014-01,1.408,
2014-04,1.482,
2014-07,1.454,
