"",BBK01.OELB01L,BBK01.OELB01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:53,
2002-01,32.209,
2002-04,32.424,
2002-07,32.452,
2002-10,32.340,
2003-01,32.250,
2003-04,32.247,
2003-07,32.468,
2003-10,32.556,
2004-01,32.380,
2004-04,32.437,
2004-07,32.623,
2004-10,32.567,
2005-01,32.505,
2005-04,32.529,
2005-07,32.728,
2005-10,32.755,
2006-01,32.854,
2006-04,32.875,
2006-07,33.077,
2006-10,32.929,
2007-01,32.675,
2007-04,32.596,
2007-07,32.645,
2007-10,32.558,
2008-01,32.523,
2008-04,32.576,
2008-07,32.712,
2008-10,32.799,
2009-01,32.883,
2009-04,33.016,
2009-07,33.353,
2009-10,33.477,
2010-01,33.602,
2010-04,33.685,
2010-07,33.830,
2010-10,33.995,
2011-01,34.122,
2011-04,34.404,
2011-07,34.671,
2011-10,34.794,
2012-01,35.133,
2012-04,37.323,
2012-07,37.872,
2012-10,37.994,
2013-01,38.334,
2013-04,38.498,
2013-07,39.040,
2013-10,39.247,
2014-01,39.526,
2014-04,39.763,
2014-07,40.277,
