"",BBK01.OEXO01J,BBK01.OEXO01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:21,
2002-01,0.568,
2002-04,0.558,
2002-07,0.539,
2002-10,0.520,
2003-01,0.515,
2003-04,0.504,
2003-07,0.487,
2003-10,0.480,
2004-01,0.467,
2004-04,0.437,
2004-07,0.418,
2004-10,0.396,
2005-01,0.407,
2005-04,0.411,
2005-07,0.414,
2005-10,0.396,
2006-01,0.399,
2006-04,0.398,
2006-07,0.395,
2006-10,0.395,
2007-01,0.400,
2007-04,0.417,
2007-07,0.429,
2007-10,0.434,
2008-01,0.452,
2008-04,0.452,
2008-07,0.454,
2008-10,0.453,
2009-01,0.551,
2009-04,0.567,
2009-07,0.576,
2009-10,0.616,
2010-01,0.601,
2010-04,0.559,
2010-07,0.563,
2010-10,0.550,
2011-01,0.610,
2011-04,0.635,
2011-07,0.627,
2011-10,0.623,
2012-01,0.620,
2012-04,0.576,
2012-07,0.570,
2012-10,0.541,
2013-01,0.517,
2013-04,0.473,
2013-07,0.448,
2013-10,0.437,
2014-01,0.439,
2014-04,0.433,
2014-07,0.422,
