"",BBK01.OEBB18P,BBK01.OEBB18P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:08,
2002-01,0.107,
2002-04,0.101,
2002-07,0.113,
2002-10,0.107,
2003-01,0.092,
2003-04,0.087,
2003-07,0.076,
2003-10,0.076,
2004-01,0.071,
2004-04,0.070,
2004-07,0.068,
2004-10,0.068,
2005-01,0.072,
2005-04,0.071,
2005-07,0.074,
2005-10,0.071,
2006-01,0.067,
2006-04,0.065,
2006-07,0.063,
2006-10,0.057,
2007-01,0.060,
2007-04,0.056,
2007-07,0.052,
2007-10,0.063,
2008-01,0.056,
2008-04,0.053,
2008-07,0.055,
2008-10,0.055,
2009-01,0.051,
2009-04,0.053,
2009-07,0.054,
2009-10,0.049,
2010-01,0.052,
2010-04,0.047,
2010-07,0.051,
2010-10,0.047,
2011-01,0.050,
2011-04,0.047,
2011-07,0.045,
2011-10,0.040,
2012-01,0.040,
2012-04,0.040,
2012-07,0.038,
2012-10,0.040,
2013-01,0.086,
2013-04,0.082,
2013-07,0.079,
2013-10,0.082,
2014-01,0.076,
2014-04,0.080,
2014-07,0.076,
