"",BBK01.OELK02I,BBK01.OELK02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:17,
2002-01,0.677,
2002-04,0.711,
2002-07,0.701,
2002-10,0.743,
2003-01,0.728,
2003-04,0.754,
2003-07,0.806,
2003-10,0.900,
2004-01,0.898,
2004-04,0.915,
2004-07,0.943,
2004-10,0.950,
2005-01,0.997,
2005-04,1.039,
2005-07,1.172,
2005-10,1.230,
2006-01,1.169,
2006-04,1.241,
2006-07,1.271,
2006-10,1.232,
2007-01,1.114,
2007-04,1.157,
2007-07,1.196,
2007-10,1.210,
2008-01,1.138,
2008-04,1.125,
2008-07,1.073,
2008-10,1.150,
2009-01,1.129,
2009-04,1.182,
2009-07,1.268,
2009-10,1.327,
2010-01,1.309,
2010-04,1.373,
2010-07,1.389,
2010-10,1.407,
2011-01,1.308,
2011-04,1.343,
2011-07,1.360,
2011-10,1.471,
2012-01,1.399,
2012-04,1.478,
2012-07,1.485,
2012-10,1.480,
2013-01,1.471,
2013-04,1.507,
2013-07,1.506,
2013-10,1.599,
2014-01,1.542,
2014-04,1.603,
2014-07,1.621,
