"",BBK01.OEHI01J,BBK01.OEHI01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:26,
2002-01,6.506,
2002-04,6.533,
2002-07,6.462,
2002-10,6.683,
2003-01,6.725,
2003-04,6.757,
2003-07,6.737,
2003-10,6.816,
2004-01,6.850,
2004-04,7.027,
2004-07,7.457,
2004-10,7.212,
2005-01,7.206,
2005-04,7.404,
2005-07,7.415,
2005-10,7.647,
2006-01,7.731,
2006-04,7.799,
2006-07,7.781,
2006-10,7.996,
2007-01,7.848,
2007-04,8.046,
2007-07,7.977,
2007-10,8.261,
2008-01,7.943,
2008-04,8.296,
2008-07,7.911,
2008-10,8.098,
2009-01,8.104,
2009-04,8.084,
2009-07,8.165,
2009-10,8.322,
2010-01,8.201,
2010-04,7.942,
2010-07,7.638,
2010-10,7.810,
2011-01,7.782,
2011-04,7.770,
2011-07,7.841,
2011-10,7.990,
2012-01,8.089,
2012-04,8.163,
2012-07,8.204,
2012-10,8.455,
2013-01,8.621,
2013-04,8.929,
2013-07,8.851,
2013-10,8.885,
2014-01,9.059,
2014-04,8.940,
2014-07,8.903,
