"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.DK.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.DK.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Denmark / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:55,
2009-09,4687,
2009-10,5073,
2009-11,5451,
2009-12,5883,
2010-01,5160,
2010-02,5063,
2010-03,5185,
2010-04,5232,
2010-05,5301,
2010-06,5466,
2010-07,5459,
2010-08,5636,
2010-09,5731,
2010-10,5872,
2010-11,5672,
2010-12,5953,
2011-01,5180,
2011-02,4966,
2011-03,4977,
2011-04,4961,
2011-05,5197,
2011-06,5365,
2011-07,5507,
2011-08,4849,
2011-09,5338,
2011-10,5275,
2011-11,5144,
2011-12,5230,
2012-01,5056,
2012-02,5141,
2012-03,5151,
2012-04,5136,
2012-05,5268,
2012-06,5498,
2012-07,5736,
2012-08,5795,
2012-09,5920,
2012-10,5861,
2012-11,5954,
2012-12,6285,
2013-01,5738,
2013-02,6092,
2013-03,6355,
2013-04,6399,
2013-05,6532,
2013-06,6265,
2013-07,6293,
2013-08,6414,
2013-09,6841,
2013-10,6838,
2013-11,6785,
2013-12,6803,
2014-01,6434,
2014-02,6384,
2014-03,6589,
2014-04,6542,
2014-05,6751,
2014-06,7549,
2014-07,7529,
2014-08,7594,
2014-09,7765,
2014-10,7995,
2014-11,8048,
