"",BBK01.OEAF23K,BBK01.OEAF23K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:06,
2002-01,0.405,
2002-04,0.410,
2002-07,0.409,
2002-10,1.046,
2003-01,1.013,
2003-04,1.014,
2003-07,1.045,
2003-10,1.056,
2004-01,0.465,
2004-04,0.806,
2004-07,0.809,
2004-10,0.405,
2005-01,0.396,
2005-04,0.394,
2005-07,0.386,
2005-10,0.374,
2006-01,0.359,
2006-04,0.348,
2006-07,0.342,
2006-10,0.338,
2007-01,0.305,
2007-04,0.304,
2007-07,0.292,
2007-10,0.270,
2008-01,0.246,
2008-04,0.257,
2008-07,0.234,
2008-10,0.223,
2009-01,0.180,
2009-04,0.170,
2009-07,0.179,
2009-10,0.170,
2010-01,0.178,
2010-04,0.260,
2010-07,0.187,
2010-10,0.194,
2011-01,0.185,
2011-04,0.189,
2011-07,0.200,
2011-10,0.218,
2012-01,0.227,
2012-04,0.236,
2012-07,0.224,
2012-10,0.225,
2013-01,0.222,
2013-04,0.239,
2013-07,0.276,
2013-10,0.268,
2014-01,0.263,
2014-04,0.265,
2014-07,0.258,
