"",BBK01.OEAH35P,BBK01.OEAH35P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:37,
2002-01,1.573,
2002-04,1.546,
2002-07,1.551,
2002-10,1.613,
2003-01,1.691,
2003-04,1.710,
2003-07,1.826,
2003-10,1.928,
2004-01,1.913,
2004-04,1.968,
2004-07,2.039,
2004-10,2.154,
2005-01,2.325,
2005-04,2.374,
2005-07,2.449,
2005-10,2.441,
2006-01,2.481,
2006-04,2.456,
2006-07,2.522,
2006-10,2.573,
2007-01,2.554,
2007-04,2.567,
2007-07,2.579,
2007-10,2.532,
2008-01,2.508,
2008-04,2.482,
2008-07,2.458,
2008-10,2.412,
2009-01,2.361,
2009-04,2.335,
2009-07,2.285,
2009-10,2.222,
2010-01,2.186,
2010-04,2.165,
2010-07,2.125,
2010-10,2.088,
2011-01,2.159,
2011-04,2.115,
2011-07,2.236,
2011-10,2.238,
2012-01,2.289,
2012-04,2.285,
2012-07,2.297,
2012-10,2.376,
2013-01,2.400,
2013-04,2.340,
2013-07,2.310,
2013-10,2.250,
2014-01,2.273,
2014-04,2.410,
2014-07,2.385,
