"",BBFB1.Q.N.DE.PL.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:31,
1991-01,-21.260,
1991-04,-64.212,
1991-07,-32.100,
1991-10,-8.983,
1992-01,-26.199,
1992-04,-125.248,
1992-07,-95.692,
1992-10,-57.200,
1993-01,-105.827,
1993-04,-245.592,
1993-07,-222.876,
1993-10,-153.886,
1994-01,-0.747,
1994-04,-143.183,
1994-07,-198.180,
1994-10,-160.533,
1995-01,-79.304,
1995-04,-287.938,
1995-07,-354.236,
1995-10,-323.015,
1996-01,-117.127,
1996-04,-395.198,
1996-07,-444.160,
1996-10,-323.859,
1997-01,-134.295,
1997-04,-421.724,
1997-07,-548.700,
1997-10,-432.480,
1998-01,-104.706,
1998-04,-395.474,
1998-07,-572.800,
1998-10,-379.817,
1999-01,-73.732,
1999-04,-356.751,
1999-07,-557.451,
1999-10,-495.930,
2000-01,-215.314,
2000-04,-449.338,
2000-07,-561.713,
2000-10,-342.288,
2001-01,-241.824,
2001-04,-583.607,
2001-07,-722.059,
2001-10,-442.052,
2002-01,-188.204,
2002-04,-707.652,
2002-07,-737.864,
2002-10,-437.066,
2003-01,-102.891,
2003-04,-675.283,
2003-07,-736.763,
2003-10,-434.221,
2004-01,172.722,
2004-04,-448.595,
2004-07,-465.621,
2004-10,-173.169,
2005-01,181.686,
2005-04,-461.110,
2005-07,-616.380,
2005-10,-36.682,
2006-01,278.656,
2006-04,-271.413,
2006-07,-367.562,
2006-10,21.693,
2007-01,617.571,
2007-04,142.962,
2007-07,-247.884,
2007-10,78.592,
2008-01,540.485,
2008-04,-132.085,
2008-07,-431.665,
2008-10,137.195,
2009-01,373.153,
2009-04,-16.721,
2009-07,-279.324,
2009-10,152.440,
2010-01,469.041,
2010-04,122.536,
2010-07,-142.098,
2010-10,330.475,
2011-01,493.679,
2011-04,148.165,
2011-07,-166.013,
2011-10,261.863,
2012-01,530.505,
2012-04,121.922,
2012-07,-217.671,
2012-10,206.358,
2013-01,370.265,
2013-04,37.953,
2013-07,-387.619,
2013-10,51.213,
2014-01,389.428,Provisional value
2014-04,96.798,Provisional value
2014-07,-368.372,Provisional value
