"",BBFN1.M.DE.N.1.L.IL.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IL.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Israel,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:32,
1982-09,0.061,
1982-10,0.061,
1982-11,0.061,
1982-12,0.062,
1983-01,0.061,
1983-02,0.061,
1983-03,0.061,
1983-04,0.062,
1983-05,0.063,
1983-06,0.062,
1983-07,0.062,
1983-08,0.067,
1983-09,0.067,
1983-10,0.064,
1983-11,0.064,
1983-12,0.063,
1984-01,0.064,
1984-02,0.064,
1984-03,0.064,
1984-04,0.055,
1984-05,0.056,
1984-06,0.056,
1984-07,0.106,
1984-08,0.107,
1984-09,0.106,
1984-10,0.106,
1984-11,0.107,
1984-12,0.106,
1985-01,0.106,
1985-02,0.107,
1985-03,0.069,
1985-04,0.070,
1985-05,0.072,
1985-06,0.072,
1985-07,0.072,
1985-08,0.072,
1985-09,0.077,
1985-10,0.079,
1985-11,0.079,
1985-12,0.078,
1986-01,0.076,
1986-02,0.076,
1986-03,.,No value available
1986-04,0.076,
1986-05,0.021,
1986-06,.,No value available
1986-07,0.021,
1986-08,0.021,
1986-09,0.022,
1986-10,0.021,
1986-11,0.021,
1986-12,0.021,
1987-01,0.020,
1987-02,0.019,
1987-03,0.025,
1987-04,0.025,
1987-05,0.026,
1987-06,0.026,
1987-07,0.027,
1987-08,0.029,
1987-09,0.030,
1987-10,0.031,
1987-11,0.030,
1987-12,0.030,
1988-01,0.030,
1988-02,0.029,
1988-03,0.030,
1988-04,0.030,
1988-05,0.032,
1988-06,0.031,
1988-07,0.031,
1988-08,0.031,
1988-09,0.032,
1988-10,0.032,
1988-11,0.032,
1988-12,0.031,
1989-01,0.031,
1989-02,0.031,
1989-03,0.032,
1989-04,0.032,
1989-05,0.032,
1989-06,0.032,
1989-07,0.034,
1989-08,0.032,
1989-09,0.032,
1989-10,0.032,
1989-11,0.032,
1989-12,0.032,
1990-01,0.032,
1990-02,0.032,
1990-03,0.033,
1990-04,0.034,
1990-05,0.034,
1990-06,0.034,
1990-07,0.034,
1990-08,0.035,
1990-09,0.034,
1990-10,0.033,
1990-11,0.033,
1990-12,0.033,
1991-01,0.033,
1991-02,0.033,
1991-03,0.033,
1991-04,0.033,
1991-05,0.033,
1991-06,0.034,
1991-07,0.034,
1991-08,0.034,
1991-09,0.043,
1991-10,0.047,
1991-11,0.048,
1991-12,0.049,
1992-01,0.043,
1992-02,0.043,
1992-03,0.043,
1992-04,0.044,
1992-05,0.048,
1992-06,0.050,
1992-07,0.050,
1992-08,0.050,
1992-09,0.050,
1992-10,0.049,
1992-11,0.050,
1992-12,0.051,
1993-01,0.036,
1993-02,0.036,
1993-03,0.036,
1993-04,0.026,
1993-05,0.025,
1993-06,0.027,
1993-07,0.026,
1993-08,0.026,
1993-09,0.025,
1993-10,0.027,
1993-11,0.027,
1993-12,0.026,
1994-01,0.037,
1994-02,0.041,
1994-03,0.049,
1994-04,0.046,
1994-05,0.058,
1994-06,0.066,
1994-07,0.075,
1994-08,0.077,
1994-09,0.088,
1994-10,0.077,
1994-11,0.085,
1994-12,0.087,
1995-01,0.074,
1995-02,0.070,
1995-03,0.060,
1995-04,0.062,
1995-05,0.052,
1995-06,0.064,
1995-07,0.061,
1995-08,0.056,
1995-09,0.059,
1995-10,0.042,
1995-11,0.041,
1995-12,0.034,
1996-01,0.044,
1996-02,0.051,
1996-03,0.052,
1996-04,0.043,
1996-05,0.042,
1996-06,0.046,
1996-07,0.048,
1996-08,0.040,
1996-09,0.052,
1996-10,0.036,
1996-11,0.044,
1996-12,0.048,
1997-01,0.047,
1997-02,0.043,
1997-03,0.031,
1997-04,0.025,
1997-05,0.030,
1997-06,0.034,
1997-07,0.029,
1997-08,0.030,
1997-09,0.035,
1997-10,0.035,
1997-11,0.038,
1997-12,0.042,
1998-01,0.043,
1998-02,0.048,
1998-03,0.053,
1998-04,0.059,
1998-05,0.063,
1998-06,0.069,
1998-07,0.055,
1998-08,0.049,
1998-09,0.048,
1998-10,0.050,
1998-11,0.051,
1998-12,0.053,
1999-01,0.053,
1999-02,0.047,
1999-03,0.048,
1999-04,0.048,
1999-05,0.054,
1999-06,0.064,
1999-07,0.072,
1999-08,0.068,
1999-09,0.071,
1999-10,0.073,
1999-11,0.071,
1999-12,0.057,
2000-01,0.062,
2000-02,0.056,
2000-03,0.062,
2000-04,0.062,
2000-05,0.059,
2000-06,0.071,
2000-07,0.073,
2000-08,0.068,
2000-09,0.078,
2000-10,0.082,
2000-11,0.083,
2000-12,0.104,
2001-01,0.103,
2001-02,0.101,
2001-03,0.111,
2001-04,0.132,
2001-05,0.129,
2001-06,0.139,
2001-07,0.137,
2001-08,0.149,
2001-09,0.145,
2001-10,0.165,
2001-11,0.173,
2001-12,0.132,
2002-01,0.139,
2002-02,0.135,
2002-03,0.131,
2002-04,0.116,
2002-05,0.116,
2002-06,0.148,
2002-07,0.180,
2002-08,0.160,
2002-09,0.154,
2002-10,0.173,
2002-11,0.153,
2002-12,0.125,
2003-01,0.117,
2003-02,0.111,
2003-03,0.107,
2003-04,0.102,
2003-05,0.100,
2003-06,0.107,
2003-07,0.101,
2003-08,0.103,
2003-09,0.106,
2003-10,0.101,
2003-11,0.108,
2003-12,0.141,
2004-01,0.125,
2004-02,0.131,
2004-03,0.127,
2004-04,0.119,
2004-05,0.130,
2004-06,0.135,
2004-07,0.136,
2004-08,0.136,
2004-09,0.141,
2004-10,0.142,
2004-11,0.136,
2004-12,0.130,
2005-01,0.179,
2005-02,0.176,
2005-03,0.181,
2005-04,0.177,
2005-05,0.182,
2005-06,0.181,
2005-07,0.177,
2005-08,0.177,
2005-09,0.185,
2005-10,0.190,
2005-11,0.185,
2005-12,0.114,
2006-01,0.116,
2006-02,0.118,
2006-03,0.130,
2006-04,0.125,
2006-05,0.109,
2006-06,0.125,
2006-07,0.139,
2006-08,0.144,
2006-09,0.143,
2006-10,0.145,
2006-11,0.140,
2006-12,0.112,
2007-01,0.118,
2007-02,0.108,
2007-03,0.097,
2007-04,0.103,
2007-05,0.105,
2007-06,0.109,
2007-07,0.251,
2007-08,0.281,
2007-09,0.238,
2007-10,0.242,
2007-11,0.258,
2007-12,0.254,
2008-01,0.270,
2008-02,0.260,
2008-03,0.252,
2008-04,0.246,
2008-05,0.261,
2008-06,0.260,
2008-07,0.286,
2008-08,0.304,
2008-09,0.292,
2008-10,0.349,
2008-11,0.461,
2008-12,0.331,
2009-01,0.372,
2009-02,0.374,
2009-03,0.373,
2009-04,0.402,
2009-05,0.384,
2009-06,0.400,
2009-07,0.434,
2009-08,0.415,
2009-09,0.406,
2009-10,0.414,
2009-11,0.636,
2009-12,0.384,
2010-01,0.550,
2010-02,0.412,
2010-03,0.408,
2010-04,0.480,
2010-05,0.508,
2010-06,0.495,
2010-07,0.480,
2010-08,0.515,
2010-09,0.490,
2010-10,0.502,
2010-11,0.534,
2010-12,0.609,
2011-01,0.544,
2011-02,0.536,
2011-03,0.521,
2011-04,0.507,
2011-05,0.498,
2011-06,0.520,
2011-07,0.557,
2011-08,0.529,
2011-09,0.643,
2011-10,0.592,
2011-11,0.613,
2011-12,0.564,
2012-01,0.596,
2012-02,0.589,
2012-03,0.585,
2012-04,0.628,
2012-05,0.648,
2012-06,0.646,
2012-07,0.702,
2012-08,0.677,
2012-09,0.665,
2012-10,0.713,
2012-11,0.688,
2012-12,0.741,
2013-01,0.811,
2013-02,0.810,
2013-03,0.838,
2013-04,0.868,
2013-05,0.881,
2013-06,0.867,
2013-07,0.915,
2013-08,0.703,
2013-09,0.425,
2013-10,1.015,
2013-11,0.669,
2013-12,0.560,
2014-01,0.581,
2014-02,0.535,
2014-03,0.538,
2014-04,0.546,
2014-05,0.532,
2014-06,0.540,
2014-07,0.562,
2014-08,0.574,
2014-09,0.533,
2014-10,0.547,
2014-11,0.566,
2014-12,0.447,
