"",BBK01.OECK04P,BBK01.OECK04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:00,
2002-01,0.033,
2002-04,0.029,
2002-07,0.029,
2002-10,0.030,
2003-01,0.031,
2003-04,0.032,
2003-07,0.032,
2003-10,0.034,
2004-01,0.030,
2004-04,0.032,
2004-07,0.031,
2004-10,0.032,
2005-01,0.031,
2005-04,0.030,
2005-07,0.032,
2005-10,0.008,
2006-01,0.032,
2006-04,0.033,
2006-07,0.037,
2006-10,0.038,
2007-01,0.038,
2007-04,0.038,
2007-07,0.042,
2007-10,0.050,
2008-01,0.054,
2008-04,0.061,
2008-07,0.060,
2008-10,0.050,
2009-01,0.037,
2009-04,0.036,
2009-07,0.037,
2009-10,0.035,
2010-01,0.031,
2010-04,0.028,
2010-07,0.026,
2010-10,0.024,
2011-01,0.025,
2011-04,0.028,
2011-07,0.016,
2011-10,0.016,
2012-01,0.008,
2012-04,0.007,
2012-07,0.006,
2012-10,0.005,
2013-01,0.004,
2013-04,0.005,
2013-07,0.006,
2013-10,0.004,
2014-01,0.005,
2014-04,0.004,
2014-07,0.003,
