"",BBFN1.M.DE.N.1.L.TN.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TN.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Tunisia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:10,
1994-07,0.033,
1994-08,0.033,
1994-09,0.038,
1994-10,0.042,
1994-11,0.039,
1994-12,0.039,
1995-01,0.039,
1995-02,0.036,
1995-03,0.035,
1995-04,0.036,
1995-05,0.038,
1995-06,0.041,
1995-07,0.037,
1995-08,0.036,
1995-09,0.036,
1995-10,0.034,
1995-11,0.037,
1995-12,0.037,
1996-01,0.032,
1996-02,0.035,
1996-03,0.035,
1996-04,0.035,
1996-05,0.036,
1996-06,0.034,
1996-07,0.036,
1996-08,0.035,
1996-09,0.037,
1996-10,0.036,
1996-11,0.038,
1996-12,0.032,
1997-01,0.037,
1997-02,0.032,
1997-03,0.034,
1997-04,0.038,
1997-05,0.041,
1997-06,0.038,
1997-07,0.039,
1997-08,0.041,
1997-09,0.039,
1997-10,0.042,
1997-11,0.044,
1997-12,0.042,
1998-01,0.033,
1998-02,0.034,
1998-03,0.038,
1998-04,0.041,
1998-05,0.038,
1998-06,0.039,
1998-07,0.036,
1998-08,0.036,
1998-09,0.040,
1998-10,0.048,
1998-11,0.043,
1998-12,0.043,
1999-01,0.035,
1999-02,0.040,
1999-03,0.043,
1999-04,0.044,
1999-05,0.047,
1999-06,0.045,
1999-07,0.048,
1999-08,0.044,
1999-09,0.044,
1999-10,0.044,
1999-11,0.043,
1999-12,0.044,
2000-01,0.042,
2000-02,0.044,
2000-03,0.042,
2000-04,0.048,
2000-05,0.045,
2000-06,0.043,
2000-07,0.049,
2000-08,0.048,
2000-09,0.052,
2000-10,0.052,
2000-11,0.048,
2000-12,0.048,
2001-01,0.047,
2001-02,0.055,
2001-03,0.052,
2001-04,0.057,
2001-05,0.053,
2001-06,0.061,
2001-07,0.052,
2001-08,0.057,
2001-09,0.059,
2001-10,0.059,
2001-11,0.054,
2001-12,0.057,
2002-01,0.053,
2002-02,0.058,
2002-03,0.050,
2002-04,0.054,
2002-05,0.050,
2002-06,0.054,
2002-07,0.052,
2002-08,0.056,
2002-09,0.059,
2002-10,0.078,
2002-11,0.069,
2002-12,0.070,
2003-01,0.078,
2003-02,0.081,
2003-03,0.084,
2003-04,0.082,
2003-05,0.071,
2003-06,0.073,
2003-07,0.072,
2003-08,0.077,
2003-09,0.076,
2003-10,0.085,
2003-11,0.067,
2003-12,0.067,
2004-01,0.066,
2004-02,0.066,
2004-03,0.080,
2004-04,0.069,
2004-05,0.074,
2004-06,0.075,
2004-07,0.074,
2004-08,0.084,
2004-09,0.106,
2004-10,0.111,
2004-11,0.074,
2004-12,0.068,
2005-01,0.067,
2005-02,0.070,
2005-03,0.071,
2005-04,0.071,
2005-05,0.070,
2005-06,0.139,
2005-07,0.071,
2005-08,0.072,
2005-09,0.075,
2005-10,0.077,
2005-11,0.070,
2005-12,0.071,
2006-01,0.071,
2006-02,0.074,
2006-03,0.080,
2006-04,0.078,
2006-05,0.087,
2006-06,0.082,
2006-07,0.087,
2006-08,0.083,
2006-09,0.088,
2006-10,0.084,
2006-11,0.089,
2006-12,0.093,
2007-01,0.097,
2007-02,0.088,
2007-03,0.090,
2007-04,0.091,
2007-05,0.089,
2007-06,0.089,
2007-07,0.094,
2007-08,0.094,
2007-09,0.096,
2007-10,0.098,
2007-11,0.093,
2007-12,0.090,
2008-01,0.091,
2008-02,0.095,
2008-03,0.094,
2008-04,0.094,
2008-05,0.099,
2008-06,0.108,
2008-07,0.109,
2008-08,0.101,
2008-09,0.109,
2008-10,0.099,
2008-11,0.100,
2008-12,0.094,
2009-01,0.070,
2009-02,0.069,
2009-03,0.060,
2009-04,0.074,
2009-05,0.067,
2009-06,0.078,
2009-07,0.073,
2009-08,0.075,
2009-09,0.079,
2009-10,0.086,
2009-11,0.073,
2009-12,0.065,
2010-01,0.074,
2010-02,0.074,
2010-03,0.081,
2010-04,0.080,
2010-05,0.082,
2010-06,0.084,
2010-07,0.091,
2010-08,0.093,
2010-09,0.104,
2010-10,0.104,
2010-11,0.102,
2010-12,0.096,
2011-01,0.100,
2011-02,0.102,
2011-03,0.113,
2011-04,0.115,
2011-05,0.122,
2011-06,0.127,
2011-07,0.129,
2011-08,0.122,
2011-09,0.129,
2011-10,0.130,
2011-11,0.130,
2011-12,0.142,
2012-01,0.127,
2012-02,0.141,
2012-03,0.176,
2012-04,0.134,
2012-05,0.136,
2012-06,0.140,
2012-07,0.142,
2012-08,0.138,
2012-09,0.136,
2012-10,0.133,
2012-11,0.151,
2012-12,0.150,
2013-01,0.150,
2013-02,0.157,
2013-03,0.155,
2013-04,0.155,
2013-05,0.157,
2013-06,0.177,
2013-07,0.167,
2013-08,0.169,
2013-09,0.176,
2013-10,0.110,
2013-11,0.101,
2013-12,0.102,
2014-01,0.102,
2014-02,0.110,
2014-03,0.118,
2014-04,0.113,
2014-05,0.125,
2014-06,0.157,
2014-07,0.161,
2014-08,0.152,
2014-09,0.164,
2014-10,0.151,
2014-11,0.144,
2014-12,0.141,
