"",BBK01.OEYB09K,BBK01.OEYB09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:58,
2002-01,29.432,
2002-04,29.495,
2002-07,30.113,
2002-10,31.254,
2003-01,30.904,
2003-04,31.649,
2003-07,32.024,
2003-10,33.472,
2004-01,34.240,
2004-04,40.133,
2004-07,39.229,
2004-10,37.298,
2005-01,37.741,
2005-04,38.354,
2005-07,39.393,
2005-10,39.649,
2006-01,39.839,
2006-04,40.548,
2006-07,40.737,
2006-10,40.144,
2007-01,37.280,
2007-04,37.594,
2007-07,37.638,
2007-10,37.029,
2008-01,41.089,
2008-04,42.624,
2008-07,44.925,
2008-10,46.994,
2009-01,47.511,
2009-04,47.211,
2009-07,45.205,
2009-10,40.314,
2010-01,40.610,
2010-04,41.947,
2010-07,44.139,
2010-10,44.469,
2011-01,42.382,
2011-04,41.892,
2011-07,47.437,
2011-10,48.099,
2012-01,47.251,
2012-04,43.435,
2012-07,43.847,
2012-10,38.825,
2013-01,38.445,
2013-04,39.137,
2013-07,39.430,
2013-10,34.302,
2014-01,34.335,
2014-04,35.218,
2014-07,35.197,
