"",BBK01.OEAD15U,BBK01.OEAD15U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:37,
2002-01,0.101,
2002-04,0.099,
2002-07,0.090,
2002-10,0.090,
2003-01,0.100,
2003-04,0.101,
2003-07,0.097,
2003-10,0.081,
2004-01,0.087,
2004-04,0.079,
2004-07,0.079,
2004-10,0.064,
2005-01,0.071,
2005-04,0.064,
2005-07,0.063,
2005-10,0.062,
2006-01,0.070,
2006-04,0.069,
2006-07,0.064,
2006-10,0.062,
2007-01,0.064,
2007-04,0.072,
2007-07,0.062,
2007-10,0.058,
2008-01,0.069,
2008-04,0.071,
2008-07,0.078,
2008-10,0.076,
2009-01,0.094,
2009-04,0.089,
2009-07,0.084,
2009-10,0.072,
2010-01,0.068,
2010-04,0.068,
2010-07,0.064,
2010-10,0.056,
2011-01,0.068,
2011-04,0.070,
2011-07,0.066,
2011-10,0.062,
2012-01,0.074,
2012-04,0.073,
2012-07,0.072,
2012-10,0.062,
2013-01,0.074,
2013-04,0.074,
2013-07,0.064,
2013-10,0.060,
2014-01,0.067,
2014-04,0.068,
2014-07,0.062,
