"",BBFB1.Q.N.DE.CN.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:58,
1991-01,1.320,
1991-04,1.780,
1991-07,2.097,
1991-10,1.515,
1992-01,1.141,
1992-04,1.732,
1992-07,1.652,
1992-10,1.604,
1993-01,3.615,
1993-04,4.023,
1993-07,8.660,
1993-10,6.406,
1994-01,6.311,
1994-04,7.952,
1994-07,8.339,
1994-10,15.378,
1995-01,7.384,
1995-04,4.361,
1995-07,3.241,
1995-10,3.203,
1996-01,2.779,
1996-04,2.198,
1996-07,2.625,
1996-10,3.118,
1997-01,5.178,
1997-04,4.185,
1997-07,4.370,
1997-10,17.743,
1998-01,3.925,
1998-04,3.669,
1998-07,5.696,
1998-10,4.765,
1999-01,7.548,
1999-04,5.677,
1999-07,5.734,
1999-10,5.986,
2000-01,6.911,
2000-04,6.367,
2000-07,5.084,
2000-10,27.476,
2001-01,8.306,
2001-04,7.132,
2001-07,6.471,
2001-10,8.550,
2002-01,8.520,
2002-04,7.372,
2002-07,6.354,
2002-10,7.578,
2003-01,6.386,
2003-04,68.701,
2003-07,3.944,
2003-10,4.455,
2004-01,4.488,
2004-04,6.843,
2004-07,6.442,
2004-10,6.182,
2005-01,10.661,
2005-04,6.061,
2005-07,6.438,
2005-10,8.442,
2006-01,4.873,
2006-04,6.684,
2006-07,5.912,
2006-10,8.689,
2007-01,6.959,
2007-04,8.288,
2007-07,7.487,
2007-10,6.731,
2008-01,11.631,
2008-04,14.122,
2008-07,12.011,
2008-10,19.662,
2009-01,9.468,
2009-04,12.876,
2009-07,10.173,
2009-10,10.080,
2010-01,12.065,
2010-04,19.167,
2010-07,10.463,
2010-10,21.367,
2011-01,8.879,
2011-04,19.586,
2011-07,13.262,
2011-10,10.221,
2012-01,16.496,
2012-04,29.254,
2012-07,12.408,
2012-10,21.635,
2013-01,12.272,
2013-04,2.022,
2013-07,14.772,
2013-10,16.940,
2014-01,-2.352,Provisional value
2014-04,-53.747,Provisional value
2014-07,-31.071,Provisional value
