"",BBK01.OEHB19K,BBK01.OEHB19K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:43,
2002-01,0.226,
2002-04,0.218,
2002-07,0.212,
2002-10,0.203,
2003-01,0.165,
2003-04,0.162,
2003-07,0.159,
2003-10,0.152,
2004-01,0.155,
2004-04,0.154,
2004-07,0.211,
2004-10,0.206,
2005-01,0.206,
2005-04,0.211,
2005-07,0.205,
2005-10,0.178,
2006-01,0.177,
2006-04,0.183,
2006-07,0.184,
2006-10,0.194,
2007-01,0.188,
2007-04,0.207,
2007-07,0.190,
2007-10,0.187,
2008-01,0.187,
2008-04,0.192,
2008-07,0.196,
2008-10,0.195,
2009-01,0.202,
2009-04,0.202,
2009-07,0.210,
2009-10,0.204,
2010-01,0.198,
2010-04,0.193,
2010-07,0.191,
2010-10,0.191,
2011-01,0.187,
2011-04,0.187,
2011-07,0.191,
2011-10,0.188,
2012-01,0.186,
2012-04,0.182,
2012-07,0.183,
2012-10,0.177,
2013-01,0.170,
2013-04,0.167,
2013-07,0.237,
2013-10,0.219,
2014-01,0.193,
2014-04,0.175,
2014-07,0.166,
