"",BBK01.OEBB01U,BBK01.OEBB01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:59,
2002-01,9.181,
2002-04,9.279,
2002-07,9.248,
2002-10,9.676,
2003-01,9.589,
2003-04,9.634,
2003-07,9.684,
2003-10,9.794,
2004-01,9.822,
2004-04,9.691,
2004-07,9.739,
2004-10,9.572,
2005-01,10.183,
2005-04,10.042,
2005-07,10.238,
2005-10,10.116,
2006-01,10.121,
2006-04,10.149,
2006-07,10.250,
2006-10,10.369,
2007-01,10.292,
2007-04,10.356,
2007-07,10.222,
2007-10,10.364,
2008-01,10.079,
2008-04,9.981,
2008-07,9.888,
2008-10,9.829,
2009-01,9.732,
2009-04,10.495,
2009-07,10.577,
2009-10,10.442,
2010-01,10.434,
2010-04,10.432,
2010-07,10.468,
2010-10,10.422,
2011-01,10.538,
2011-04,10.597,
2011-07,10.613,
2011-10,10.490,
2012-01,10.524,
2012-04,10.529,
2012-07,10.529,
2012-10,10.474,
2013-01,10.774,
2013-04,10.794,
2013-07,11.031,
2013-10,11.116,
2014-01,11.092,
2014-04,11.163,
2014-07,10.977,
