"",BBK01.OEYI01K,BBK01.OEYI01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:35,
2002-01,32.238,
2002-04,32.514,
2002-07,35.273,
2002-10,34.524,
2003-01,35.679,
2003-04,35.614,
2003-07,33.644,
2003-10,34.190,
2004-01,33.278,
2004-04,36.651,
2004-07,39.358,
2004-10,22.565,
2005-01,23.284,
2005-04,24.880,
2005-07,25.553,
2005-10,25.900,
2006-01,26.631,
2006-04,28.451,
2006-07,34.549,
2006-10,32.450,
2007-01,32.785,
2007-04,33.935,
2007-07,34.311,
2007-10,34.094,
2008-01,33.655,
2008-04,33.257,
2008-07,33.146,
2008-10,32.906,
2009-01,30.484,
2009-04,30.827,
2009-07,31.694,
2009-10,30.429,
2010-01,30.045,
2010-04,30.565,
2010-07,31.020,
2010-10,30.564,
2011-01,29.477,
2011-04,27.770,
2011-07,21.745,
2011-10,22.281,
2012-01,21.633,
2012-04,21.498,
2012-07,21.549,
2012-10,19.987,
2013-01,20.193,
2013-04,19.951,
2013-07,21.760,
2013-10,20.642,
2014-01,20.267,
2014-04,20.741,
2014-07,21.030,
