"",BBSF2.M.1.T.00000.TOT01.I.F.INV.LU.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.LU.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / Luxembourg,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:30,
2009-09,28765,
2009-10,29435,
2009-11,30377,
2009-12,31275,
2010-01,32136,
2010-02,33224,
2010-03,35653,
2010-04,37793,
2010-05,37107,
2010-06,37045,
2010-07,38249,
2010-08,39494,
2010-09,39604,
2010-10,41088,
2010-11,41998,
2010-12,43149,
2011-01,43738,
2011-02,44138,
2011-03,43207,
2011-04,44767,
2011-05,45091,
2011-06,44645,
2011-07,44901,
2011-08,42210,
2011-09,41842,
2011-10,42701,
2011-11,42174,
2011-12,42916,
2012-01,44949,
2012-02,47411,
2012-03,46985,
2012-04,46345,
2012-05,45194,
2012-06,45426,
2012-07,47081,
2012-08,47408,
2012-09,48273,
2012-10,50580,
2012-11,51585,
2012-12,54425,
2013-01,55714,
2013-02,56578,
2013-03,58177,
2013-04,58958,
2013-05,59677,
2013-06,56150,
2013-07,58049,
2013-08,57914,
2013-09,59343,
2013-10,60997,
2013-11,61093,
2013-12,61339,
2014-01,61635,
2014-02,62946,
2014-03,64338,
2014-04,65631,
2014-05,67265,
2014-06,69056,
2014-07,70422,
2014-08,70794,
2014-09,71256,
2014-10,71497,
2014-11,73093,
