"",BBK01.OEAE16N,BBK01.OEAE16N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:39,
2002-01,1.375,
2002-04,1.468,
2002-07,1.421,
2002-10,1.603,
2003-01,1.462,
2003-04,1.430,
2003-07,1.324,
2003-10,1.527,
2004-01,1.318,
2004-04,1.294,
2004-07,1.242,
2004-10,1.325,
2005-01,1.250,
2005-04,1.222,
2005-07,1.180,
2005-10,1.255,
2006-01,1.199,
2006-04,1.157,
2006-07,1.094,
2006-10,1.189,
2007-01,1.083,
2007-04,1.056,
2007-07,1.002,
2007-10,1.065,
2008-01,1.043,
2008-04,0.984,
2008-07,0.983,
2008-10,1.121,
2009-01,1.124,
2009-04,1.064,
2009-07,1.024,
2009-10,1.010,
2010-01,1.074,
2010-04,1.039,
2010-07,0.985,
2010-10,1.036,
2011-01,0.976,
2011-04,0.977,
2011-07,0.910,
2011-10,1.052,
2012-01,1.088,
2012-04,1.156,
2012-07,1.107,
2012-10,1.169,
2013-01,1.124,
2013-04,1.116,
2013-07,0.988,
2013-10,1.052,
2014-01,1.002,
2014-04,0.913,
2014-07,0.809,
