"",BBK01.OECI08G,BBK01.OECI08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:06,
2002-01,1.762,
2002-04,0.926,
2002-07,0.904,
2002-10,1.029,
2003-01,1.045,
2003-04,1.074,
2003-07,1.394,
2003-10,1.407,
2004-01,1.291,
2004-04,1.307,
2004-07,1.641,
2004-10,1.717,
2005-01,5.608,
2005-04,5.823,
2005-07,5.746,
2005-10,5.582,
2006-01,5.435,
2006-04,5.280,
2006-07,5.092,
2006-10,4.987,
2007-01,5.168,
2007-04,5.036,
2007-07,4.912,
2007-10,4.976,
2008-01,4.936,
2008-04,5.201,
2008-07,4.986,
2008-10,4.996,
2009-01,5.234,
2009-04,5.637,
2009-07,6.184,
2009-10,6.504,
2010-01,6.578,
2010-04,6.457,
2010-07,6.455,
2010-10,6.501,
2011-01,6.407,
2011-04,6.227,
2011-07,6.164,
2011-10,6.156,
2012-01,6.835,
2012-04,6.794,
2012-07,6.750,
2012-10,6.833,
2013-01,6.605,
2013-04,6.520,
2013-07,6.304,
2013-10,6.150,
2014-01,5.975,
2014-04,5.801,
2014-07,5.906,
