"",BBK01.OEAB14K,BBK01.OEAB14K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:02,
2002-01,2.409,
2002-04,2.284,
2002-07,2.279,
2002-10,2.498,
2003-01,2.261,
2003-04,2.197,
2003-07,1.992,
2003-10,2.462,
2004-01,1.969,
2004-04,1.823,
2004-07,1.847,
2004-10,1.945,
2005-01,1.587,
2005-04,1.607,
2005-07,1.518,
2005-10,1.497,
2006-01,1.554,
2006-04,1.481,
2006-07,1.491,
2006-10,1.530,
2007-01,1.421,
2007-04,1.402,
2007-07,1.518,
2007-10,1.376,
2008-01,1.291,
2008-04,1.262,
2008-07,1.280,
2008-10,1.276,
2009-01,1.267,
2009-04,1.252,
2009-07,1.236,
2009-10,1.299,
2010-01,1.287,
2010-04,1.518,
2010-07,1.481,
2010-10,1.610,
2011-01,1.591,
2011-04,1.655,
2011-07,1.499,
2011-10,1.486,
2012-01,1.469,
2012-04,1.514,
2012-07,1.489,
2012-10,1.558,
2013-01,1.594,
2013-04,1.565,
2013-07,1.494,
2013-10,1.477,
2014-01,1.508,
2014-04,1.601,
2014-07,1.542,
