"",BBK01.OEAD32T,BBK01.OEAD32T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:24,
2002-01,0.135,
2002-04,0.132,
2002-07,0.136,
2002-10,0.137,
2003-01,0.140,
2003-04,0.137,
2003-07,0.143,
2003-10,0.147,
2004-01,0.143,
2004-04,0.135,
2004-07,0.135,
2004-10,0.149,
2005-01,0.142,
2005-04,0.141,
2005-07,0.134,
2005-10,0.110,
2006-01,0.107,
2006-04,0.106,
2006-07,0.105,
2006-10,0.110,
2007-01,0.109,
2007-04,0.081,
2007-07,0.071,
2007-10,0.072,
2008-01,0.069,
2008-04,0.082,
2008-07,0.081,
2008-10,0.077,
2009-01,0.079,
2009-04,0.081,
2009-07,0.083,
2009-10,0.078,
2010-01,0.088,
2010-04,0.088,
2010-07,0.097,
2010-10,0.099,
2011-01,0.091,
2011-04,0.072,
2011-07,0.083,
2011-10,0.095,
2012-01,0.090,
2012-04,0.086,
2012-07,0.084,
2012-10,0.083,
2013-01,0.080,
2013-04,0.073,
2013-07,0.074,
2013-10,0.060,
2014-01,0.056,
2014-04,0.058,
2014-07,0.076,
