"",BBK01.OEAB10G,BBK01.OEAB10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:26,
2002-01,29.991,
2002-04,32.088,
2002-07,31.585,
2002-10,30.508,
2003-01,28.004,
2003-04,31.034,
2003-07,27.676,
2003-10,26.986,
2004-01,27.189,
2004-04,27.777,
2004-07,24.807,
2004-10,25.390,
2005-01,24.800,
2005-04,26.801,
2005-07,24.630,
2005-10,22.885,
2006-01,24.313,
2006-04,25.348,
2006-07,25.423,
2006-10,24.302,
2007-01,26.404,
2007-04,27.910,
2007-07,30.104,
2007-10,32.009,
2008-01,32.153,
2008-04,33.131,
2008-07,33.824,
2008-10,34.328,
2009-01,37.256,
2009-04,35.359,
2009-07,32.964,
2009-10,29.670,
2010-01,29.172,
2010-04,28.468,
2010-07,28.140,
2010-10,26.499,
2011-01,27.880,
2011-04,27.332,
2011-07,27.513,
2011-10,27.156,
2012-01,28.081,
2012-04,30.848,
2012-07,30.988,
2012-10,29.152,
2013-01,30.613,
2013-04,29.647,
2013-07,26.175,
2013-10,23.042,
2014-01,23.791,
2014-04,24.355,
2014-07,24.048,
