"",BBK01.BJ9185,BBK01.BJ9185_FLAGS
"",National accounts - general government expenditure - other expenditure (ESA 2010) - Germany as a whole (western Germany up to and including 1990),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:58,
1970,29790,
1971,34590,
1972,39300,
1973,43600,
1974,49000,
1975,52550,
1976,57180,
1977,61420,
1978,64640,
1979,70840,
1980,75980,
1981,77810,
1982,80620,
1983,83380,
1984,88210,
1985,90560,
1986,92390,
1987,96080,
1988,100090,
1989,104470,
1990,133060,
1991,164000,"Break, comment"
1992,160748,
1993,164016,
1994,167374,
1995,292389,
1996,167448,
1997,165397,
1998,173062,
1999,176952,
2000,131291,
2001,186478,
2002,185770,
2003,187163,
2004,182805,
2005,188929,
2006,188352,
2007,191949,
2008,210757,
2009,221243,
2010,254757,
2011,231674,Provisional value
2012,231718,Provisional value
2013,241765,Provisional value
2014,249540,Provisional value
"",General: For Germany as a whole (western Germany in ESA 95 definition up to and including 1990),
