"",BBK01.OECB15K,BBK01.OECB15K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:22,
2002-01,0.116,
2002-04,0.103,
2002-07,0.086,
2002-10,0.080,
2003-01,0.076,
2003-04,0.076,
2003-07,0.073,
2003-10,0.062,
2004-01,0.060,
2004-04,0.061,
2004-07,0.063,
2004-10,0.137,
2005-01,0.102,
2005-04,0.091,
2005-07,0.085,
2005-10,0.094,
2006-01,0.084,
2006-04,0.083,
2006-07,0.093,
2006-10,0.094,
2007-01,0.090,
2007-04,0.088,
2007-07,0.071,
2007-10,0.070,
2008-01,0.065,
2008-04,0.064,
2008-07,0.064,
2008-10,0.071,
2009-01,0.072,
2009-04,0.097,
2009-07,0.097,
2009-10,0.091,
2010-01,0.094,
2010-04,0.081,
2010-07,0.074,
2010-10,0.075,
2011-01,0.096,
2011-04,0.092,
2011-07,0.094,
2011-10,0.084,
2012-01,0.083,
2012-04,0.084,
2012-07,0.082,
2012-10,0.086,
2013-01,0.085,
2013-04,0.073,
2013-07,0.072,
2013-10,0.077,
2014-01,0.078,
2014-04,0.079,
2014-07,0.070,
