"",BBFB1.M.N.DE.W1.S13.S1.T.A.FA.O.F2.T._T.N.N,BBFB1.M.N.DE.W1.S13.S1.T.A.FA.O.F2.T._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Currency and deposits / General government / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:48,
1991-01,-156.568,
1991-02,-134.869,
1991-03,2315.130,
1991-04,-169.374,
1991-05,848.881,
1991-06,-548.616,
1991-07,721.882,
1991-08,2125.747,
1991-09,-328.738,
1991-10,-391.052,
1991-11,-590.371,
1991-12,-456.597,
1992-01,2967.027,
1992-02,-554.752,
1992-03,-94.078,
1992-04,-1422.925,
1992-05,3216.026,
1992-06,-264.849,
1992-07,-1180.573,
1992-08,54.708,
1992-09,-4.602,
1992-10,213.720,
1992-11,-328.761,
1992-12,442.779,
1993-01,639.626,
1993-02,1036.900,
1993-03,-859.993,
1993-04,-807.841,
1993-05,2978.786,
1993-06,-304.219,
1993-07,611.505,
1993-08,-1325.269,
1993-09,1274.139,
1993-10,63.400,
1993-11,-1339.877,
1993-12,697.695,
1994-01,-493.801,
1994-02,721.837,
1994-03,81.689,
1994-04,-599.117,
1994-05,657.522,
1994-06,-1259.823,
1994-07,-650.363,
1994-08,-719.899,
1994-09,-235.194,
1994-10,-1722.031,
1994-11,-229.570,
1994-12,165.659,
1995-01,-1019.699,
1995-02,166.978,
1995-03,413.931,
1995-04,83.789,
1995-05,1299.357,
1995-06,2341.336,
1995-07,-1886.383,
1995-08,-765.465,
1995-09,1157.958,
1995-10,-40.844,
1995-11,469.665,
1995-12,1144.627,
1996-01,-928.958,
1996-02,155.224,
1996-03,56.559,
1996-04,-402.860,
1996-05,1286.092,
1996-06,-99.462,
1996-07,-1712.431,
1996-08,6.327,
1996-09,-1341.314,
1996-10,-1033.951,
1996-11,688.436,
1996-12,2880.255,
1997-01,-152.025,
1997-02,164.637,
1997-03,145.987,
1997-04,-1257.062,
1997-05,889.171,
1997-06,329.300,
1997-07,611.113,
1997-08,-1078.372,
1997-09,587.725,
1997-10,-611.834,
1997-11,277.726,
1997-12,341.258,
1998-01,1386.844,
1998-02,-160.912,
1998-03,-56.127,
1998-04,-929.556,
1998-05,1350.018,
1998-06,1624.816,
1998-07,-1375.410,
1998-08,672.461,
1998-09,-449.258,
1998-10,-1049.568,
1998-11,998.949,
1998-12,-2108.178,
1999-01,-3906.728,
1999-02,-204.899,
1999-03,-1579.777,
1999-04,-1144.578,
1999-05,-194.070,
1999-06,-157.953,
1999-07,-31.598,
1999-08,-609.823,
1999-09,-128.724,
1999-10,497.765,
1999-11,-798.132,
1999-12,677.002,
2000-01,-932.883,
2000-02,-59.540,
2000-03,-757.223,
2000-04,-453.085,
2000-05,572.642,
2000-06,4270.397,
2000-07,-716.225,
2000-08,277.172,
2000-09,15592.190,
2000-10,-1782.079,
2000-11,821.848,
2000-12,2509.398,
2001-01,-20103.269,
2001-02,-786.965,
2001-03,-90.885,
2001-04,763.774,
2001-05,-175.531,
2001-06,-2404.557,
2001-07,-226.594,
2001-08,-199.409,
2001-09,-41.175,
2001-10,-123.420,
2001-11,-153.828,
2001-12,8058.954,
2002-01,-3566.675,
2002-02,178.898,
2002-03,337.774,
2002-04,-1.387,
2002-05,127.280,
2002-06,-98.451,
2002-07,409.512,
2002-08,-4257.465,
2002-09,-461.651,
2002-10,152.881,
2002-11,-245.470,
2002-12,765.269,
2003-01,-966.577,
2003-02,429.802,
2003-03,-104.584,
2003-04,-534.253,
2003-05,1264.305,
2003-06,-188.901,
2003-07,370.416,
2003-08,-192.187,
2003-09,255.749,
2003-10,264.515,
2003-11,-186.384,
2003-12,-705.328,
2004-01,-1284.653,
2004-02,866.177,
2004-03,-487.551,
2004-04,849.176,
2004-05,-536.369,
2004-06,-270.524,
2004-07,-428.064,
2004-08,-645.431,
2004-09,-7.152,
2004-10,-10.774,
2004-11,-340.225,
2004-12,509.562,
2005-01,-230.682,
2005-02,380.803,
2005-03,-6658.320,
2005-04,7005.018,
2005-05,-4482.458,
2005-06,118.581,
2005-07,11438.895,
2005-08,-12274.488,
2005-09,1827.588,
2005-10,545.071,
2005-11,-2145.329,
2005-12,9248.197,
2006-01,-2941.284,
2006-02,-9222.463,
2006-03,4947.581,
2006-04,2725.909,
2006-05,5701.853,
2006-06,4949.560,
2006-07,-821.845,
2006-08,833.233,
2006-09,5517.105,
2006-10,6494.567,
2006-11,-7936.752,
2006-12,-3810.044,
2007-01,-6808.802,
2007-02,-889.435,
2007-03,-3517.477,
2007-04,4374.034,
2007-05,13284.497,
2007-06,7314.659,
2007-07,-18623.289,
2007-08,-5983.582,
2007-09,-1972.282,
2007-10,-5835.243,
2007-11,11050.666,
2007-12,-789.710,
2008-01,-6420.434,
2008-02,-3023.945,
2008-03,10577.003,
2008-04,-10283.151,
2008-05,4207.705,
2008-06,12063.712,
2008-07,-17433.879,
2008-08,2344.236,
2008-09,3662.940,
2008-10,-6691.928,
2008-11,6033.714,
2008-12,2157.378,
2009-01,-3635.292,
2009-02,-3712.582,
2009-03,1096.843,
2009-04,-1766.746,
2009-05,6308.251,
2009-06,11444.793,
2009-07,-11867.434,
2009-08,1968.611,
2009-09,-3998.448,
2009-10,334.982,
2009-11,3220.745,
2009-12,-2634.892,
2010-01,-4066.375,
2010-02,868.313,
2010-03,5304.238,
2010-04,-4147.045,
2010-05,2892.407,
2010-06,-4075.021,
2010-07,-966.051,
2010-08,1546.290,
2010-09,924.989,
2010-10,4823.235,
2010-11,4344.016,
2010-12,2995.813,
2011-01,-4141.221,
2011-02,-296.422,
2011-03,3334.523,
2011-04,-2656.803,
2011-05,1919.748,
2011-06,7276.333,
2011-07,-8546.382,
2011-08,-2133.279,
2011-09,2213.089,
2011-10,16259.302,
2011-11,3973.166,
2011-12,3541.210,
2012-01,-345.340,
2012-02,-6698.761,
2012-03,-1099.624,
2012-04,-1777.337,
2012-05,3713.978,
2012-06,-1508.184,
2012-07,2439.240,
2012-08,-3208.759,
2012-09,-1688.792,
2012-10,-2431.805,
2012-11,3586.673,
2012-12,1875.652,
2013-01,-5028.000,
2013-02,1556.000,
2013-03,-412.000,
2013-04,373.000,
2013-05,-1907.000,
2013-06,-2163.000,
2013-07,43.000,
2013-08,645.000,
2013-09,-56.000,
2013-10,621.000,
2013-11,1759.000,
2013-12,-642.000,
2014-01,125.000,
2014-02,-441.000,Provisional value
2014-03,3935.000,Provisional value
2014-04,-1916.000,Provisional value
2014-05,-454.000,Provisional value
2014-06,-9.000,Provisional value
2014-07,2481.000,Provisional value
2014-08,2136.000,Provisional value
2014-09,72.000,
2014-10,2491.000,
2014-11,5463.000,
2014-12,-889.000,Provisional value
