"",BBK01.CEL0N0,BBK01.CEL0N0_FLAGS
"",External financing total                                       debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:18,
1999-01,124.4,
1999-04,82.9,
1999-07,76.7,
1999-10,103.6,
2000-01,153.3,
2000-04,108.1,
2000-07,113.5,
2000-10,45.3,
2001-01,174.9,
2001-04,80.7,
2001-07,63.7,
2001-10,44.3,
2002-01,56.3,
2002-04,93.2,
2002-07,105.2,
2002-10,29.8,
2003-01,138.1,
2003-04,92.4,
2003-07,-10.0,
2003-10,30.5,
2004-01,119.0,
2004-04,2.2,
2004-07,108.3,
2004-10,-74.5,
2005-01,181.1,
2005-04,87.5,
2005-07,201.1,
2005-10,155.0,
2006-01,292.9,
2006-04,214.1,
2006-07,166.0,
2006-10,177.9,
2007-01,180.1,
2007-04,237.3,
2007-07,74.7,
2007-10,83.6,
2008-01,204.9,
2008-04,-145.2,
2008-07,-77.2,
2008-10,-410.1,
2009-01,273.3,
2009-04,-195.3,
2009-07,18.8,
2009-10,47.4,
2010-01,104.6,
2010-04,267.2,
2010-07,70.6,
2010-10,-117.0,
2011-01,-6.1,
2011-04,139.3,
2011-07,391.9,
2011-10,-359.3,
2012-01,176.5,
2012-04,261.3,
2012-07,14.4,
2012-10,-49.7,
2013-01,57.3,
2013-04,21.3,
2013-07,-4.6,
2013-10,-37.6,
2014-01,63.3,
2014-04,128.0,
2014-07,134.9,
