"",BBSF2.M.1.T.00000.GEM01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEM01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed securities funds / Loans received,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:38,
2009-09,72,
2009-10,122,
2009-11,130,
2009-12,102,
2010-01,316,
2010-02,157,
2010-03,121,
2010-04,109,
2010-05,116,
2010-06,101,
2010-07,207,
2010-08,166,
2010-09,386,
2010-10,334,
2010-11,255,
2010-12,126,
2011-01,243,
2011-02,225,
2011-03,597,
2011-04,259,
2011-05,245,
2011-06,568,
2011-07,109,
2011-08,310,
2011-09,234,
2011-10,253,
2011-11,282,
2011-12,79,
2012-01,91,
2012-02,154,
2012-03,557,
2012-04,407,
2012-05,186,
2012-06,221,
2012-07,145,
2012-08,79,
2012-09,100,
2012-10,130,
2012-11,653,
2012-12,719,
2013-01,774,
2013-02,858,
2013-03,758,
2013-04,926,
2013-05,890,
2013-06,807,
2013-07,762,
2013-08,874,
2013-09,696,
2013-10,1012,
2013-11,811,
2013-12,775,
2014-01,920,
2014-02,1255,
2014-03,528,
2014-04,677,
2014-05,569,
2014-06,720,
2014-07,945,
2014-08,907,
2014-09,1527,
2014-10,1126,
2014-11,1179,
