"",BBFB1.Q.N.DE.AR.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.AR.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:27,
1991-01,-0.896,
1991-04,-0.834,
1991-07,-0.809,
1991-10,-0.834,
1992-01,-2.118,
1992-04,-2.495,
1992-07,-2.118,
1992-10,-2.118,
1993-01,-20.956,
1993-04,-2.710,
1993-07,-2.870,
1993-10,-2.725,
1994-01,57.967,
1994-04,58.331,
1994-07,30.647,
1994-10,54.863,
1995-01,-64.603,
1995-04,-64.403,
1995-07,-64.073,
1995-10,-64.134,
1996-01,32.933,
1996-04,-27.786,
1996-07,29.550,
1996-10,134.986,
1997-01,-127.193,
1997-04,10.144,
1997-07,3.714,
1997-10,55.378,
1998-01,-32.944,
1998-04,-5.765,
1998-07,88.125,
1998-10,-44.683,
1999-01,-23.913,
1999-04,66.332,
1999-07,-52.746,
1999-10,4.144,
2000-01,-11.732,
2000-04,22.636,
2000-07,38.253,
2000-10,15.683,
2001-01,-39.460,
2001-04,13.429,
2001-07,-39.695,
2001-10,19.217,
2002-01,-32.483,
2002-04,2.278,
2002-07,20.655,
2002-10,-27.868,
2003-01,-47.055,
2003-04,-1.501,
2003-07,39.917,
2003-10,14.967,
2004-01,53.312,
2004-04,-43.334,
2004-07,27.856,
2004-10,3.954,
2005-01,-23.330,
2005-04,-1.468,
2005-07,54.102,
2005-10,-26.779,
2006-01,17.630,
2006-04,38.463,
2006-07,20.773,
2006-10,-54.345,
2007-01,1.889,
2007-04,28.814,
2007-07,17.014,
2007-10,-57.864,
2008-01,-34.331,
2008-04,-14.650,
2008-07,-21.267,
2008-10,-25.290,
2009-01,-5.120,
2009-04,-10.181,
2009-07,-1.378,
2009-10,12.073,
2010-01,-19.798,
2010-04,-27.421,
2010-07,15.555,
2010-10,-6.142,
2011-01,-22.682,
2011-04,5.733,
2011-07,44.789,
2011-10,5.617,
2012-01,-46.525,
2012-04,1.623,
2012-07,-21.168,
2012-10,1.640,
2013-01,-3.771,
2013-04,22.136,
2013-07,-4.956,
2013-10,47.046,
2014-01,13.041,Provisional value
2014-04,-8.326,Provisional value
2014-07,10.065,Provisional value
2014-10,-39.000,Provisional value
