"",BBK01.OEAH52L,BBK01.OEAH52L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:23,
2002-01,0.308,
2002-04,0.311,
2002-07,0.310,
2002-10,0.302,
2003-01,0.310,
2003-04,0.298,
2003-07,0.290,
2003-10,0.291,
2004-01,0.312,
2004-04,0.318,
2004-07,0.306,
2004-10,0.299,
2005-01,0.280,
2005-04,0.269,
2005-07,0.262,
2005-10,0.262,
2006-01,0.248,
2006-04,0.241,
2006-07,0.242,
2006-10,0.238,
2007-01,0.231,
2007-04,0.223,
2007-07,0.221,
2007-10,0.211,
2008-01,0.190,
2008-04,0.185,
2008-07,0.199,
2008-10,0.193,
2009-01,0.162,
2009-04,0.171,
2009-07,0.193,
2009-10,0.222,
2010-01,0.254,
2010-04,0.276,
2010-07,0.285,
2010-10,0.292,
2011-01,0.299,
2011-04,0.327,
2011-07,0.327,
2011-10,0.340,
2012-01,0.337,
2012-04,0.333,
2012-07,0.323,
2012-10,0.322,
2013-01,0.304,
2013-04,0.284,
2013-07,0.272,
2013-10,0.275,
2014-01,0.269,
2014-04,0.260,
2014-07,0.270,
