"",BBK01.CELN0N,BBK01.CELN0N_FLAGS
"",Transferable deposits                                                     debtor: Total            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:55,
1999-01,45.6,
1999-04,2.1,
1999-07,-16.6,
1999-10,-34.9,
2000-01,67.9,
2000-04,1.7,
2000-07,9.4,
2000-10,-20.4,
2001-01,54.2,
2001-04,-10.0,
2001-07,-10.1,
2001-10,-56.8,
2002-01,43.8,
2002-04,24.3,
2002-07,9.0,
2002-10,-32.0,
2003-01,47.4,
2003-04,17.8,
2003-07,2.8,
2003-10,-52.1,
2004-01,74.6,
2004-04,-5.4,
2004-07,9.9,
2004-10,-63.6,
2005-01,95.4,
2005-04,10.5,
2005-07,-6.2,
2005-10,-53.6,
2006-01,64.6,
2006-04,32.9,
2006-07,5.9,
2006-10,-5.9,
2007-01,44.6,
2007-04,33.8,
2007-07,4.2,
2007-10,-60.1,
2008-01,107.7,
2008-04,3.6,
2008-07,29.9,
2008-10,-55.1,
2009-01,73.5,
2009-04,-12.6,
2009-07,-33.3,
2009-10,-20.0,
2010-01,79.2,
2010-04,66.9,
2010-07,-30.9,
2010-10,-50.2,
2011-01,6.1,
2011-04,12.7,
2011-07,65.0,
2011-10,-46.9,
2012-01,127.9,
2012-04,55.2,
2012-07,47.4,
2012-10,-74.5,
2013-01,-26.5,
2013-04,-2.9,
2013-07,-4.8,
2013-10,-56.2,
2014-01,37.7,
2014-04,46.1,
2014-07,-8.9,
