"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.FR.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.FR.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / France,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:18,
2009-09,90927,
2009-10,88872,
2009-11,90351,
2009-12,93307,
2010-01,94000,
2010-02,94343,
2010-03,97614,
2010-04,98765,
2010-05,97285,
2010-06,98154,
2010-07,100125,
2010-08,101763,
2010-09,103243,
2010-10,104930,
2010-11,103217,
2010-12,103595,
2011-01,103791,
2011-02,104891,
2011-03,103981,
2011-04,105193,
2011-05,105386,
2011-06,104905,
2011-07,105594,
2011-08,102815,
2011-09,100868,
2011-10,102616,
2011-11,99026,
2011-12,102897,
2012-01,105946,
2012-02,111037,
2012-03,112297,
2012-04,111659,
2012-05,113644,
2012-06,114525,
2012-07,118656,
2012-08,120350,
2012-09,119889,
2012-10,121104,
2012-11,122339,
2012-12,123629,
2013-01,123277,
2013-02,123784,
2013-03,125612,
2013-04,128785,
2013-05,127968,
2013-06,123349,
2013-07,127076,
2013-08,126228,
2013-09,127984,
2013-10,130058,
2013-11,130833,
2013-12,128714,
2014-01,129751,
2014-02,135942,
2014-03,137676,
2014-04,139243,
2014-05,142559,
2014-06,142924,
2014-07,142470,
2014-08,143641,
2014-09,144328,
2014-10,142245,
2014-11,145014,
