"",BBK01.OEXO03H,BBK01.OEXO03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:51,
2002-01,1.075,
2002-04,0.978,
2002-07,0.832,
2002-10,0.749,
2003-01,0.986,
2003-04,0.799,
2003-07,0.816,
2003-10,0.795,
2004-01,0.936,
2004-04,0.863,
2004-07,0.706,
2004-10,0.751,
2005-01,0.839,
2005-04,0.805,
2005-07,0.892,
2005-10,0.991,
2006-01,1.177,
2006-04,1.067,
2006-07,1.205,
2006-10,1.293,
2007-01,1.450,
2007-04,1.194,
2007-07,1.222,
2007-10,1.230,
2008-01,1.463,
2008-04,1.281,
2008-07,1.364,
2008-10,1.738,
2009-01,1.473,
2009-04,1.144,
2009-07,1.117,
2009-10,1.599,
2010-01,1.685,
2010-04,0.979,
2010-07,0.935,
2010-10,1.084,
2011-01,1.231,
2011-04,1.264,
2011-07,1.068,
2011-10,1.330,
2012-01,1.514,
2012-04,1.267,
2012-07,1.296,
2012-10,1.496,
2013-01,1.500,
2013-04,1.462,
2013-07,1.099,
2013-10,1.178,
2014-01,1.249,
2014-04,0.936,
2014-07,0.799,
