"",BBK01.OEAA11R,BBK01.OEAA11R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:36,
2002-01,2.273,
2002-04,2.306,
2002-07,2.386,
2002-10,2.428,
2003-01,2.469,
2003-04,2.395,
2003-07,2.343,
2003-10,2.442,
2004-01,2.231,
2004-04,2.281,
2004-07,2.271,
2004-10,2.185,
2005-01,2.133,
2005-04,2.165,
2005-07,2.089,
2005-10,1.966,
2006-01,1.864,
2006-04,1.906,
2006-07,1.791,
2006-10,1.713,
2007-01,1.772,
2007-04,1.767,
2007-07,1.667,
2007-10,1.609,
2008-01,1.924,
2008-04,1.657,
2008-07,1.702,
2008-10,1.649,
2009-01,1.591,
2009-04,1.526,
2009-07,1.474,
2009-10,1.495,
2010-01,1.385,
2010-04,1.357,
2010-07,1.325,
2010-10,1.159,
2011-01,1.295,
2011-04,1.313,
2011-07,1.183,
2011-10,1.169,
2012-01,1.252,
2012-04,1.265,
2012-07,1.228,
2012-10,1.260,
2013-01,1.331,
2013-04,1.368,
2013-07,1.299,
2013-10,1.338,
2014-01,1.420,
2014-04,1.523,
2014-07,1.418,
