"",BBK01.CEL4N0,BBK01.CEL4N0_FLAGS
"",Loans                                                           debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:11,
1999-01,61.8,
1999-04,21.7,
1999-07,18.2,
1999-10,21.9,
2000-01,13.4,
2000-04,39.2,
2000-07,-0.1,
2000-10,-2.7,
2001-01,93.9,
2001-04,-11.9,
2001-07,0.3,
2001-10,-25.7,
2002-01,38.1,
2002-04,-11.4,
2002-07,27.2,
2002-10,-17.0,
2003-01,44.3,
2003-04,-21.1,
2003-07,12.5,
2003-10,9.6,
2004-01,38.5,
2004-04,-37.9,
2004-07,56.7,
2004-10,-18.4,
2005-01,18.5,
2005-04,-7.5,
2005-07,14.8,
2005-10,18.0,
2006-01,-8.1,
2006-04,5.2,
2006-07,35.4,
2006-10,-14.8,
2007-01,40.2,
2007-04,30.5,
2007-07,62.4,
2007-10,24.7,
2008-01,66.0,
2008-04,23.0,
2008-07,36.7,
2008-10,-15.1,
2009-01,26.9,
2009-04,30.3,
2009-07,-6.9,
2009-10,-5.3,
2010-01,45.6,
2010-04,77.1,
2010-07,47.1,
2010-10,33.2,
2011-01,14.3,
2011-04,17.0,
2011-07,132.0,
2011-10,-17.8,
2012-01,189.1,
2012-04,120.7,
2012-07,-31.5,
2012-10,-14.2,
2013-01,-47.7,
2013-04,1.0,
2013-07,-22.5,
2013-10,-70.8,
2014-01,-25.9,
2014-04,-1.0,
2014-07,23.7,
