"",BBK01.OEBI07H,BBK01.OEBI07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:52,
2002-01,14.001,
2002-04,12.798,
2002-07,12.791,
2002-10,13.312,
2003-01,14.160,
2003-04,14.740,
2003-07,16.453,
2003-10,17.188,
2004-01,17.858,
2004-04,18.679,
2004-07,19.532,
2004-10,20.455,
2005-01,26.980,
2005-04,27.471,
2005-07,27.772,
2005-10,27.003,
2006-01,26.411,
2006-04,25.691,
2006-07,24.532,
2006-10,23.867,
2007-01,24.051,
2007-04,23.546,
2007-07,22.706,
2007-10,23.029,
2008-01,22.825,
2008-04,22.833,
2008-07,22.285,
2008-10,23.655,
2009-01,25.737,
2009-04,26.707,
2009-07,27.692,
2009-10,28.005,
2010-01,28.066,
2010-04,27.970,
2010-07,28.270,
2010-10,29.600,
2011-01,30.256,
2011-04,29.518,
2011-07,29.178,
2011-10,30.189,
2012-01,31.787,
2012-04,31.360,
2012-07,31.390,
2012-10,31.724,
2013-01,31.265,
2013-04,30.373,
2013-07,29.481,
2013-10,28.949,
2014-01,28.136,
2014-04,27.754,
2014-07,28.101,
