"",BBK01.OEHJ08N,BBK01.OEHJ08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:59,
2002-01,0.309,
2002-04,0.303,
2002-07,0.302,
2002-10,0.296,
2003-01,0.285,
2003-04,0.354,
2003-07,0.356,
2003-10,0.344,
2004-01,0.343,
2004-04,0.343,
2004-07,0.351,
2004-10,0.347,
2005-01,0.376,
2005-04,0.237,
2005-07,0.362,
2005-10,0.343,
2006-01,0.356,
2006-04,0.360,
2006-07,0.314,
2006-10,0.296,
2007-01,0.288,
2007-04,0.292,
2007-07,0.290,
2007-10,0.284,
2008-01,0.297,
2008-04,0.289,
2008-07,0.278,
2008-10,0.274,
2009-01,0.284,
2009-04,0.297,
2009-07,0.308,
2009-10,0.315,
2010-01,0.362,
2010-04,0.402,
2010-07,0.415,
2010-10,0.469,
2011-01,0.471,
2011-04,0.471,
2011-07,0.451,
2011-10,0.435,
2012-01,0.445,
2012-04,0.484,
2012-07,0.507,
2012-10,0.477,
2013-01,0.492,
2013-04,0.490,
2013-07,0.492,
2013-10,0.514,
2014-01,0.510,
2014-04,0.527,
2014-07,0.531,
