"",BBK01.OEAH05H,BBK01.OEAH05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:44,
2002-01,105.804,
2002-04,103.830,
2002-07,103.491,
2002-10,106.332,
2003-01,106.004,
2003-04,105.986,
2003-07,105.052,
2003-10,110.032,
2004-01,109.000,
2004-04,109.428,
2004-07,107.983,
2004-10,107.455,
2005-01,110.977,
2005-04,110.107,
2005-07,109.525,
2005-10,108.733,
2006-01,107.638,
2006-04,106.738,
2006-07,107.039,
2006-10,108.836,
2007-01,110.304,
2007-04,110.839,
2007-07,111.251,
2007-10,112.316,
2008-01,120.397,
2008-04,122.274,
2008-07,121.817,
2008-10,132.401,
2009-01,132.855,
2009-04,126.952,
2009-07,135.332,
2009-10,134.502,
2010-01,131.800,
2010-04,130.172,
2010-07,128.668,
2010-10,141.316,
2011-01,134.443,
2011-04,132.396,
2011-07,136.978,
2011-10,135.294,
2012-01,132.296,
2012-04,130.451,
2012-07,130.168,
2012-10,127.277,
2013-01,125.511,
2013-04,124.601,
2013-07,117.419,
2013-10,117.247,
2014-01,117.023,
2014-04,115.082,
2014-07,115.362,
