"",BBK01.OEAA29V,BBK01.OEAA29V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:13,
2002-01,7.837,
2002-04,7.774,
2002-07,7.667,
2002-10,7.573,
2003-01,7.468,
2003-04,7.307,
2003-07,7.230,
2003-10,7.125,
2004-01,7.008,
2004-04,6.889,
2004-07,6.784,
2004-10,6.684,
2005-01,6.551,
2005-04,6.498,
2005-07,6.745,
2005-10,6.646,
2006-01,6.565,
2006-04,6.592,
2006-07,6.596,
2006-10,6.538,
2007-01,6.504,
2007-04,6.420,
2007-07,6.376,
2007-10,6.352,
2008-01,6.261,
2008-04,6.279,
2008-07,6.272,
2008-10,6.308,
2009-01,6.133,
2009-04,7.168,
2009-07,7.160,
2009-10,7.169,
2010-01,7.066,
2010-04,7.090,
2010-07,6.524,
2010-10,6.438,
2011-01,6.463,
2011-04,6.440,
2011-07,6.531,
2011-10,6.493,
2012-01,6.453,
2012-04,7.495,
2012-07,7.471,
2012-10,7.479,
2013-01,7.508,
2013-04,7.539,
2013-07,7.609,
2013-10,7.618,
2014-01,7.635,
2014-04,7.674,
2014-07,7.691,
