"",BBSF2.M.1.S.I0002.AKT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.AKT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:19,
2004-01,-,Nothing exists
2004-02,173,
2004-03,133,
2004-04,-18,
2004-05,62,
2004-06,-78,
2004-07,0,
2004-08,60,
2004-09,-,Nothing exists
2004-10,0,
2004-11,97,
2004-12,-56,
2005-01,2,
2005-02,5,
2005-03,17,
2005-04,134,
2005-05,828,
2005-06,110,
2005-07,-85,
2005-08,28,
2005-09,42,
2005-10,108,
2005-11,253,
2005-12,756,
2006-01,176,
2006-02,381,
2006-03,286,
2006-04,285,
2006-05,-230,
2006-06,-297,
2006-07,3,
2006-08,3,
2006-09,7,
2006-10,-6,
2006-11,153,
2006-12,442,
2007-01,72,
2007-02,147,
2007-03,-38,
2007-04,-121,
2007-05,-72,
2007-06,-27,
2007-07,-72,
2007-08,-182,
2007-09,-153,
2007-10,108,
2007-11,866,
2007-12,80,
2008-01,-48,
2008-02,97,
2008-03,159,
2008-04,113,
2008-05,-19,
2008-06,20,
2008-07,-103,
2008-08,8,
2008-09,52,
2008-10,-453,
2008-11,393,
2008-12,120,
2009-01,15,
2009-02,11,
2009-03,541,
2009-04,-30,
2009-05,-47,
2009-06,-913,
2009-07,-325,
2009-08,-423,
2009-09,119,
2009-10,-172,
2009-11,-12,
2009-12,444,
2010-01,-27,
2010-02,2,
2010-03,114,
2010-04,-35,
2010-05,-108,
2010-06,-28,
2010-07,409,
2010-08,-278,
2010-09,179,
2010-10,-540,
2010-11,323,
2010-12,98,
2011-01,157,
2011-02,71,
2011-03,129,
2011-04,-33,
2011-05,-82,
2011-06,-76,
2011-07,93,
2011-08,0,
2011-09,121,
2011-10,-1064,
2011-11,79,
2011-12,82,
2012-01,17,
2012-02,-123,
2012-03,-18,
2012-04,696,
2012-05,6,
2012-06,60,
2012-07,38,
2012-08,-55,
2012-09,-29,
2012-10,470,
2012-11,108,
2012-12,720,
2013-01,63,
2013-02,31,
2013-03,472,
2013-04,579,
2013-05,83,
2013-06,-49,
2013-07,-94,
2013-08,13,
2013-09,-173,
2013-10,342,
2013-11,-90,
2013-12,459,
2014-01,-196,
2014-02,14,
2014-03,-173,
2014-04,-21,
2014-05,97,
2014-06,95,
2014-07,-455,
2014-08,-408,
2014-09,-267,
2014-10,27,
2014-11,126,
